Flow ID,Flow Name,Flow Parameters,Flow Associated Tasks
2629,sklearn.ensemble.forest.RandomForestClassifier,No parameters available,No tasks available
2638,sklearn.ensemble.forest.RandomForestClassifier,No parameters available,No tasks available
2799,sklearn.ensemble.forest.RandomForestClassifier,No parameters available,No tasks available
2823,sklearn.ensemble.forest.RandomForestClassifier,No parameters available,No tasks available
2856,sklearn.linear_model.logistic.LogisticRegression,No parameters available,No tasks available
3404,sklearn.tree.tree.DecisionTreeClassifier,No parameters available,No tasks available
3413,sklearn.svm.classes.SVC,No parameters available,No tasks available
3414,sklearn.ensemble.weight_boosting.AdaBoostClassifier,No parameters available,No tasks available
3415,sklearn.ensemble.weight_boosting.AdaBoostClassifier,No parameters available,No tasks available
3425,sklearn.neural_network.multilayer_perceptron.MLPClassifier,No parameters available,No tasks available
3431,sklearn.ensemble.gradient_boosting.GradientBoostingClassifier,No parameters available,No tasks available
3434,sklearn.ensemble.forest.ExtraTreesClassifier,No parameters available,No tasks available
3436,sklearn.ensemble.bagging.BaggingClassifier,No parameters available,No tasks available
3437,sklearn.ensemble.forest.ExtraTreesClassifier,No parameters available,No tasks available
3438,sklearn.neighbors.classification.KNeighborsClassifier,No parameters available,No tasks available
3439,sklearn.ensemble.weight_boosting.AdaBoostClassifier,No parameters available,No tasks available
3440,sklearn.svm.classes.SVC,No parameters available,No tasks available
3442,sklearn.neighbors.classification.KNeighborsClassifier,No parameters available,No tasks available
3444,sklearn.ensemble.gradient_boosting.GradientBoostingClassifier,No parameters available,No tasks available
3445,sklearn.ensemble.bagging.BaggingClassifier,No parameters available,No tasks available
3446,sklearn.neighbors.classification.KNeighborsClassifier,No parameters available,No tasks available
3453,sklearn.svm.classes.SVC,No parameters available,No tasks available
3455,xgboost.sklearn.XGBClassifier,No parameters available,No tasks available
3482,sklearn.ensemble.forest.ExtraTreesClassifier,No parameters available,No tasks available
3716,325b3936TESTSENTINEL999openml.sklearn.model_selection.KFold,No parameters available,No tasks available
3717,325b3936TESTSENTINEL999sklearn.pipeline.Pipeline(sklearn.preprocessing.data.OneHotEncoder__sklearn.preprocessing.data.StandardScaler__sklearn.pipeline.FeatureUnion(sklearn.preprocessing.data.PolynomialFeatures__sklearn.decomposition.pca.PCA)__sklearn.ensemble.weight_boosting.AdaBoostClassifier(sklearn.tree.tree.DecisionTreeClassifier)),No parameters available,No tasks available
3718,325b3936TESTSENTINEL999sklearn.preprocessing.data.OneHotEncoder,No parameters available,No tasks available
3719,325b3936TESTSENTINEL999sklearn.preprocessing.data.StandardScaler,No parameters available,No tasks available
3720,325b3936TESTSENTINEL999sklearn.pipeline.FeatureUnion(sklearn.preprocessing.data.PolynomialFeatures__sklearn.decomposition.pca.PCA),No parameters available,No tasks available
3721,325b3936TESTSENTINEL999sklearn.preprocessing.data.PolynomialFeatures,No parameters available,No tasks available
3722,325b3936TESTSENTINEL999sklearn.decomposition.pca.PCA,No parameters available,No tasks available
