Dataset,Soma de Execuções,Percentual (%)
Speech,277,45.78512396694215
pollen,96,15.867768595041323
CIFAR_10_small,40,6.6115702479338845
wilt,39,6.446280991735537
socmob,33,5.454545454545454
balance-scale,20,3.3057851239669422
sick,14,2.3140495867768593
Bioresponse,13,2.1487603305785123
Speech - CIFAR_10_small,13,2.1487603305785123
Speech- CIFAR_10_small,11,1.8181818181818181
bank-marketing,10,1.6528925619834711
diabetes_numeric,5,0.8264462809917356
blood-transfusion-service-center,5,0.8264462809917356
kr-vs-kp,5,0.8264462809917356
lupus,4,0.6611570247933884
tic-tac-toe,3,0.49586776859504134
iris,3,0.49586776859504134
eucalyptus,3,0.49586776859504134
heart-statlog,2,0.3305785123966942
climate-model-simulation-crashes,2,0.3305785123966942
ilpd,1,0.1652892561983471
pendigits,1,0.1652892561983471
analcatdata_challenger,1,0.1652892561983471
diabetes,1,0.1652892561983471
test_dataset,1,0.1652892561983471
breast-w,1,0.1652892561983471
banknote-authentication,1,0.1652892561983471
