,Flow Name
3,325b3936TESTSENTINEL999sklearn.pipeline.Pipeline(sklearn.preprocessing.data.OneHotEncoder__sklearn.preprocessing.data.StandardScaler__sklearn.pipeline.FeatureUnion(sklearn.preprocessing.data.PolynomialFeatures__sklearn.decomposition.pca.PCA)__sklearn.ensemble.weight_boosting.AdaBoostClassifier(sklearn.tree.tree.DecisionTreeClassifier))
5,325b3936TESTSENTINEL999sklearn.pipeline.FeatureUnion(sklearn.preprocessing.data.PolynomialFeatures__sklearn.decomposition.pca.PCA)
6,325b3936TESTSENTINEL999sklearn.preprocessing.data.PolynomialFeatures
7,325b3936TESTSENTINEL999sklearn.decomposition.pca.PCA
528,sklearn.ensemble.forest.RandomTreesEmbedding
536,"sklearn.pipeline.Pipeline(steps__feature_selection=sklearn.feature_selection.from_model.SelectFromModel(estimator=sklearn.svm.classes.LinearSVC),steps__classification=sklearn.ensemble.forest.RandomForestClassifier)"
537,sklearn.feature_selection.from_model.SelectFromModel(estimator=sklearn.svm.classes.LinearSVC)
639,"sklearn.pipeline.Pipeline(Imputer=openml.utils.preprocessing.ConditionalImputer,OneHotEncoder=sklearn.preprocessing.data.OneHotEncoder,VarianceThreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,Estimator=sklearn.naive_bayes.GaussianNB)"
641,sklearn.feature_selection.variance_threshold.VarianceThreshold
642,"sklearn.pipeline.Pipeline(feature_select=sklearn.feature_selection.univariate_selection.SelectPercentile,classifier=sklearn.ensemble.forest.RandomForestClassifier)"
643,sklearn.feature_selection.univariate_selection.SelectPercentile
644,"sklearn.pipeline.Pipeline(feature_select=sklearn.feature_selection.from_model.SelectFromModel(estimator=sklearn.ensemble.forest.RandomForestClassifier),classifier=sklearn.svm.classes.SVC)"
645,sklearn.feature_selection.from_model.SelectFromModel(estimator=sklearn.ensemble.forest.RandomForestClassifier)
646,"sklearn.pipeline.Pipeline(steps__scaling=sklearn.preprocessing.data.StandardScaler,steps__selector=sklearn.feature_selection.univariate_selection.GenericUnivariateSelect,steps__classifier=sklearn.svm.classes.SVC)"
648,sklearn.feature_selection.univariate_selection.GenericUnivariateSelect
