,Flow Name
497,sklearn.preprocessing.imputation.Imputer
529,"sklearn.pipeline.Pipeline(sklearn.preprocessing.imputation.Imputer,sklearn.preprocessing.data.OneHotEncoder,sklearn.ensemble.forest.RandomForestClassifier)"
533,"sklearn.pipeline.Pipeline(steps__imputer=sklearn.preprocessing.imputation.Imputer,steps__onehotencoder=sklearn.preprocessing.data.OneHotEncoder,steps__zerocount=tpot.operators.preprocessors.zero_count.ZeroCount,steps__logisticregression=sklearn.linear_model.logistic.LogisticRegression)"
534,sklearn.preprocessing.imputation.Imputer
538,"sklearn.pipeline.Pipeline(steps__Imputer=sklearn.preprocessing.imputation.Imputer,steps__OneHotEncoder=sklearn.preprocessing.data.OneHotEncoder,steps__Classifier=sklearn.ensemble.forest.RandomForestClassifier)"
601,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,OneHotEncoder=sklearn.preprocessing.data.OneHotEncoder,Classifier=sklearn.ensemble.forest.RandomForestClassifier)"
651,"flows.AutoSklearnFLow.AutoSklearnFlow(preprocessor=sklearn.pipeline.Pipeline(steps__imputer=sklearn.preprocessing.imputation.Imputer,steps__onehotencoder=sklearn.preprocessing.data.OneHotEncoder,steps__variancethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold))"
652,"sklearn.pipeline.Pipeline(steps__imputer=sklearn.preprocessing.imputation.Imputer,steps__onehotencoder=sklearn.preprocessing.data.OneHotEncoder,steps__variancethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold)"
654,"sklearn.pipeline.Pipeline(steps__imputer=sklearn.preprocessing.imputation.Imputer,steps__onehotencoder=sklearn.preprocessing.data.OneHotEncoder,steps__variancethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,steps__deepforest=DeepForest.DeepForest)"
655,"DeepForest.DeepForest(preprocessor=sklearn.pipeline.Pipeline(steps__imputer=sklearn.preprocessing.imputation.Imputer,steps__onehotencoder=sklearn.preprocessing.data.OneHotEncoder,steps__variancethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold))"
687,"sklearn.pipeline.Pipeline(steps__Imputer=sklearn.preprocessing.imputation.Imputer,steps__Classifier=sklearn.ensemble.forest.RandomForestClassifier)"
704,"sklearn.pipeline.Pipeline(steps__imputer=sklearn.preprocessing.imputation.Imputer,steps__onehotencoder=sklearn.preprocessing.data.OneHotEncoder,steps__variancethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,steps__randomforestclassifier=sklearn.ensemble.forest.RandomForestClassifier)"
706,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,onehotencoder=sklearn.preprocessing.data.OneHotEncoder,variancethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,randomforestclassifier=sklearn.ensemble.forest.RandomForestClassifier)"
716,"sklearn.pipeline.Pipeline(steps__Imputer=sklearn.preprocessing.imputation.Imputer,steps__OneHotEncoder=sklearn.preprocessing.data.OneHotEncoder,steps__Feature_Removal=sklearn.feature_selection.univariate_selection.SelectKBest,steps__Classifier=sklearn.ensemble.forest.RandomForestClassifier)"
717,"sklearn.pipeline.Pipeline(steps__Imputer=sklearn.preprocessing.imputation.Imputer,steps__OneHotEncoder=sklearn.preprocessing.data.OneHotEncoder,steps__Feature_Removal=sklearn.feature_selection.univariate_selection.SelectKBest,steps__Classifier=sklearn.neighbors.classification.KNeighborsClassifier)"
720,"sklearn.pipeline.Pipeline(steps__Imputer=sklearn.preprocessing.imputation.Imputer,steps__OneHotEncoder=sklearn.preprocessing.data.OneHotEncoder,steps__select=sklearn.feature_selection.univariate_selection.SelectPercentile,steps__Classifier=sklearn.ensemble.forest.RandomForestClassifier)"
722,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,OneHotEncoder=sklearn.preprocessing.data.OneHotEncoder,Feature_Removal=sklearn.feature_selection.univariate_selection.SelectKBest,Classifier=sklearn.ensemble.forest.RandomForestClassifier)"
723,"sklearn.pipeline.Pipeline(steps__preprocessing=sklearn.preprocessing.imputation.Imputer,steps__OneHotEncoder=sklearn.preprocessing.data.OneHotEncoder,steps__Classifier=sklearn.ensemble.forest.RandomForestClassifier)"
724,"sklearn.pipeline.Pipeline(steps__preprocessing=sklearn.preprocessing.imputation.Imputer,steps__Classifier=sklearn.ensemble.forest.RandomForestClassifier)"
725,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,OneHotEncoder=sklearn.preprocessing.data.OneHotEncoder,Feature_Removal=sklearn.feature_selection.univariate_selection.SelectKBest,Classifier=sklearn.linear_model.logistic.LogisticRegression)"
726,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,OneHotEncoder=sklearn.preprocessing.data.OneHotEncoder,Feature_Removal=sklearn.feature_selection.univariate_selection.SelectKBest,Classifier=sklearn.svm.classes.SVC)"
734,"sklearn.pipeline.Pipeline(steps__Imputer=sklearn.preprocessing.imputation.Imputer,steps__Classifier=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier)"
765,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,pca=sklearn.decomposition.pca.PCA,randomforestclassifier=sklearn.ensemble.forest.RandomForestClassifier)"
766,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,pca=sklearn.decomposition.pca.PCA,gradientboostingclassifier=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier)"
