Dataset,Imputer Strategy,Categorical Strategy,Feature Selection,Scaler,Classifier,Fold,Fold Accuracy,Error,Using_imputer,Using_cat,Training Time,Testing Time
algerian_forest_fires_46279,,,,,AdaBoostClassifier(random_state=0),0,1.0,,,,0.18732380867004395,0.007320404052734375
algerian_forest_fires_46279,,,,,AdaBoostClassifier(random_state=0),1,0.9795918367346939,,,,0.07825779914855957,0.008205413818359375
algerian_forest_fires_46279,,,,,AdaBoostClassifier(random_state=0),2,1.0,,,,0.07505202293395996,0.007300853729248047
algerian_forest_fires_46279,,,,,AdaBoostClassifier(random_state=0),3,0.9583333333333334,,,,0.08203959465026855,0.0072422027587890625
algerian_forest_fires_46279,,,,,AdaBoostClassifier(random_state=0),4,0.9583333333333334,,,,0.07780289649963379,0.00748896598815918
algerian_forest_fires_46279,,,pca,,AdaBoostClassifier(random_state=0),0,0.9387755102040817,,,,0.08132362365722656,0.006292581558227539
algerian_forest_fires_46279,,,pca,,AdaBoostClassifier(random_state=0),1,0.9591836734693877,,,,0.09751415252685547,0.006349325180053711
algerian_forest_fires_46279,,,pca,,AdaBoostClassifier(random_state=0),2,0.9387755102040817,,,,0.08549737930297852,0.0067598819732666016
algerian_forest_fires_46279,,,pca,,AdaBoostClassifier(random_state=0),3,0.9375,,,,0.0874941349029541,0.0062732696533203125
algerian_forest_fires_46279,,,pca,,AdaBoostClassifier(random_state=0),4,0.9375,,,,0.08188533782958984,0.00632023811340332
algerian_forest_fires_46279,,,fastica,,AdaBoostClassifier(random_state=0),0,0.6326530612244898,,,,0.09994792938232422,0.00889134407043457
algerian_forest_fires_46279,,,fastica,,AdaBoostClassifier(random_state=0),1,0.6938775510204082,,,,0.08746933937072754,0.006374359130859375
algerian_forest_fires_46279,,,fastica,,AdaBoostClassifier(random_state=0),2,0.8775510204081632,,,,0.07952189445495605,0.006257772445678711
algerian_forest_fires_46279,,,fastica,,AdaBoostClassifier(random_state=0),3,0.875,,,,0.07963061332702637,0.006239175796508789
