Dataset,Imputer Strategy,Categorical Strategy,Feature Selection,Scaler,Classifier,Fold,Fold Accuracy,Error,Using_imputer,Using_cat,Training Time,Testing Time
algerian_forest_fires_46279,,,,,BernoulliNB(),0,0.8163265306122449,,,,0.7228291034698486,0.0014507770538330078
algerian_forest_fires_46279,,,,,BernoulliNB(),1,0.8571428571428571,,,,0.0024404525756835938,0.0011272430419921875
algerian_forest_fires_46279,,,,,BernoulliNB(),2,0.7551020408163265,,,,0.0023200511932373047,0.0011060237884521484
algerian_forest_fires_46279,,,,,BernoulliNB(),3,0.8958333333333334,,,,0.002315044403076172,0.0010986328125
algerian_forest_fires_46279,,,,,BernoulliNB(),4,0.8333333333333334,,,,0.0023453235626220703,0.0010945796966552734
algerian_forest_fires_46279,,,pca,,BernoulliNB(),0,0.7755102040816326,,,,0.0014870166778564453,0.00032067298889160156
algerian_forest_fires_46279,,,pca,,BernoulliNB(),1,0.7959183673469388,,,,0.0014541149139404297,0.0003070831298828125
algerian_forest_fires_46279,,,pca,,BernoulliNB(),2,0.8775510204081632,,,,0.0013837814331054688,0.0003314018249511719
algerian_forest_fires_46279,,,pca,,BernoulliNB(),3,0.8333333333333334,,,,0.0013735294342041016,0.0002987384796142578
algerian_forest_fires_46279,,,pca,,BernoulliNB(),4,0.8333333333333334,,,,0.0013899803161621094,0.0003006458282470703
algerian_forest_fires_46279,,,fastica,,BernoulliNB(),0,0.6326530612244898,,,,0.0012896060943603516,0.0002818107604980469
algerian_forest_fires_46279,,,fastica,,BernoulliNB(),1,0.6530612244897959,,,,0.0012428760528564453,0.0002968311309814453
algerian_forest_fires_46279,,,fastica,,BernoulliNB(),2,0.7346938775510204,,,,0.0014452934265136719,0.0003368854522705078
algerian_forest_fires_46279,,,fastica,,BernoulliNB(),3,0.6666666666666666,,,,0.0012984275817871094,0.0002779960632324219
algerian_forest_fires_46279,,,fastica,,BernoulliNB(),4,0.4375,,,,0.0014660358428955078,0.0002777576446533203
algerian_forest_fires_46279,,,truncated_svd,,BernoulliNB(),0,0.6938775510204082,,,,0.0014755725860595703,0.0002655982971191406
algerian_forest_fires_46279,,,truncated_svd,,BernoulliNB(),1,0.6938775510204082,,,,0.0012164115905761719,0.0002651214599609375
algerian_forest_fires_46279,,,truncated_svd,,BernoulliNB(),2,0.7755102040816326,,,,0.0012180805206298828,0.000308990478515625
algerian_forest_fires_46279,,,truncated_svd,,BernoulliNB(),3,0.6666666666666666,,,,0.0012791156768798828,0.0002636909484863281
algerian_forest_fires_46279,,,truncated_svd,,BernoulliNB(),4,0.8541666666666666,,,,0.001211404800415039,0.0003387928009033203
