Dataset,Imputer Strategy,Categorical Strategy,Feature Selection,Scaler,Classifier,Fold,Fold Accuracy,Error,Using_imputer,Using_cat,Training Time,Testing Time
algerian_forest_fires_46279,,,,,DecisionTreeClassifier(random_state=0),0,0.9591836734693877,,,,0.0026924610137939453,0.0010151863098144531
algerian_forest_fires_46279,,,,,DecisionTreeClassifier(random_state=0),1,0.9795918367346939,,,,0.0024220943450927734,0.0009415149688720703
algerian_forest_fires_46279,,,,,DecisionTreeClassifier(random_state=0),2,0.9795918367346939,,,,0.0023088455200195312,0.0011012554168701172
algerian_forest_fires_46279,,,,,DecisionTreeClassifier(random_state=0),3,0.9583333333333334,,,,0.0023119449615478516,0.0009672641754150391
algerian_forest_fires_46279,,,,,DecisionTreeClassifier(random_state=0),4,0.9375,,,,0.0023190975189208984,0.0010585784912109375
algerian_forest_fires_46279,,,pca,,DecisionTreeClassifier(random_state=0),0,0.9183673469387755,,,,0.0019254684448242188,0.0001418590545654297
algerian_forest_fires_46279,,,pca,,DecisionTreeClassifier(random_state=0),1,0.9387755102040817,,,,0.002305269241333008,0.00015974044799804688
algerian_forest_fires_46279,,,pca,,DecisionTreeClassifier(random_state=0),2,0.8979591836734694,,,,0.0018568038940429688,0.00013875961303710938
algerian_forest_fires_46279,,,pca,,DecisionTreeClassifier(random_state=0),3,0.875,,,,0.0023910999298095703,0.00014472007751464844
algerian_forest_fires_46279,,,pca,,DecisionTreeClassifier(random_state=0),4,0.8958333333333334,,,,0.0019757747650146484,0.00015592575073242188
algerian_forest_fires_46279,,,fastica,,DecisionTreeClassifier(random_state=0),0,0.673469387755102,,,,0.0026061534881591797,0.00018215179443359375
algerian_forest_fires_46279,,,fastica,,DecisionTreeClassifier(random_state=0),1,0.7755102040816326,,,,0.0023658275604248047,0.00015664100646972656
algerian_forest_fires_46279,,,fastica,,DecisionTreeClassifier(random_state=0),2,0.8163265306122449,,,,0.002051830291748047,0.0001385211944580078
algerian_forest_fires_46279,,,fastica,,DecisionTreeClassifier(random_state=0),3,0.8541666666666666,,,,0.0020897388458251953,0.0001404285430908203
algerian_forest_fires_46279,,,fastica,,DecisionTreeClassifier(random_state=0),4,0.5625,,,,0.0024416446685791016,0.0001385211944580078
algerian_forest_fires_46279,,,truncated_svd,,DecisionTreeClassifier(random_state=0),0,0.7346938775510204,,,,0.001157522201538086,0.00012826919555664062
algerian_forest_fires_46279,,,truncated_svd,,DecisionTreeClassifier(random_state=0),1,0.7142857142857143,,,,0.0011889934539794922,0.0001723766326904297
algerian_forest_fires_46279,,,truncated_svd,,DecisionTreeClassifier(random_state=0),2,0.7551020408163265,,,,0.0013203620910644531,0.00015091896057128906
algerian_forest_fires_46279,,,truncated_svd,,DecisionTreeClassifier(random_state=0),3,0.7291666666666666,,,,0.0017194747924804688,0.00020551681518554688
algerian_forest_fires_46279,,,truncated_svd,,DecisionTreeClassifier(random_state=0),4,0.8958333333333334,,,,0.0012462139129638672,0.00013875961303710938
algerian_forest_fires_46279,,,select_percentile,,DecisionTreeClassifier(random_state=0),0,1.0,,,,0.001020669937133789,0.00012540817260742188
algerian_forest_fires_46279,,,select_percentile,,DecisionTreeClassifier(random_state=0),1,0.9795918367346939,,,,0.0010814666748046875,0.0001277923583984375
algerian_forest_fires_46279,,,select_percentile,,DecisionTreeClassifier(random_state=0),2,1.0,,,,0.0014491081237792969,0.00017023086547851562
algerian_forest_fires_46279,,,select_percentile,,DecisionTreeClassifier(random_state=0),3,0.9583333333333334,,,,0.0010833740234375,0.0001270771026611328
algerian_forest_fires_46279,,,select_percentile,,DecisionTreeClassifier(random_state=0),4,0.9375,,,,0.0010502338409423828,0.0001423358917236328
algerian_forest_fires_46279,,,generic_univariate,,DecisionTreeClassifier(random_state=0),0,1.0,,,,0.001428365707397461,0.0001709461212158203
algerian_forest_fires_46279,,,generic_univariate,,DecisionTreeClassifier(random_state=0),1,1.0,,,,0.0012340545654296875,0.00017213821411132812
algerian_forest_fires_46279,,,generic_univariate,,DecisionTreeClassifier(random_state=0),2,1.0,,,,0.0011012554168701172,0.00012755393981933594
algerian_forest_fires_46279,,,generic_univariate,,DecisionTreeClassifier(random_state=0),3,0.9583333333333334,,,,0.00104522705078125,0.00012922286987304688
algerian_forest_fires_46279,,,generic_univariate,,DecisionTreeClassifier(random_state=0),4,0.9791666666666666,,,,0.0010020732879638672,0.0001480579376220703
algerian_forest_fires_46279,,,polynomial_features,,DecisionTreeClassifier(random_state=0),0,0.9795918367346939,,,,0.004059553146362305,0.0001442432403564453
algerian_forest_fires_46279,,,polynomial_features,,DecisionTreeClassifier(random_state=0),1,0.9795918367346939,,,,0.0037207603454589844,0.0001437664031982422
algerian_forest_fires_46279,,,polynomial_features,,DecisionTreeClassifier(random_state=0),2,0.9591836734693877,,,,0.004521608352661133,0.00017023086547851562
algerian_forest_fires_46279,,,polynomial_features,,DecisionTreeClassifier(random_state=0),3,0.9583333333333334,,,,0.004032135009765625,0.00016832351684570312
algerian_forest_fires_46279,,,polynomial_features,,DecisionTreeClassifier(random_state=0),4,0.9166666666666666,,,,0.0032448768615722656,0.0001437664031982422
algerian_forest_fires_46279,,,nystroem,,DecisionTreeClassifier(random_state=0),0,0.6530612244897959,,,,0.025499820709228516,0.000335693359375
algerian_forest_fires_46279,,,nystroem,,DecisionTreeClassifier(random_state=0),1,0.7959183673469388,,,,0.022962570190429688,0.00039124488830566406
algerian_forest_fires_46279,,,nystroem,,DecisionTreeClassifier(random_state=0),2,0.7959183673469388,,,,0.023211002349853516,0.0003540515899658203
algerian_forest_fires_46279,,,nystroem,,DecisionTreeClassifier(random_state=0),3,0.7291666666666666,,,,0.020614147186279297,0.005876779556274414
algerian_forest_fires_46279,,,nystroem,,DecisionTreeClassifier(random_state=0),4,0.7291666666666666,,,,0.023918628692626953,0.0003325939178466797
algerian_forest_fires_46279,,,rbf_sampler,,DecisionTreeClassifier(random_state=0),0,0.5918367346938775,,,,0.01852560043334961,0.00032782554626464844
algerian_forest_fires_46279,,,rbf_sampler,,DecisionTreeClassifier(random_state=0),1,0.42857142857142855,,,,0.014172077178955078,0.0002982616424560547
algerian_forest_fires_46279,,,rbf_sampler,,DecisionTreeClassifier(random_state=0),2,0.5918367346938775,,,,0.011378765106201172,0.00017499923706054688
algerian_forest_fires_46279,,,rbf_sampler,,DecisionTreeClassifier(random_state=0),3,0.5625,,,,0.01509714126586914,0.00021576881408691406
algerian_forest_fires_46279,,,rbf_sampler,,DecisionTreeClassifier(random_state=0),4,0.5416666666666666,,,,0.011513471603393555,0.00014901161193847656
algerian_forest_fires_46279,,,random_trees_embedding,,DecisionTreeClassifier(random_state=0),0,0.8979591836734694,,,,0.004161357879638672,0.0002105236053466797
algerian_forest_fires_46279,,,random_trees_embedding,,DecisionTreeClassifier(random_state=0),1,0.9591836734693877,,,,0.004368782043457031,0.00020384788513183594
algerian_forest_fires_46279,,,random_trees_embedding,,DecisionTreeClassifier(random_state=0),2,0.9795918367346939,,,,0.0040912628173828125,0.0002048015594482422
algerian_forest_fires_46279,,,random_trees_embedding,,DecisionTreeClassifier(random_state=0),3,0.9375,,,,0.004540205001831055,0.00020503997802734375
algerian_forest_fires_46279,,,random_trees_embedding,,DecisionTreeClassifier(random_state=0),4,0.9583333333333334,,,,0.004483222961425781,0.0002110004425048828
algerian_forest_fires_46279,,,feature_agglomeration,,DecisionTreeClassifier(random_state=0),0,0.8367346938775511,,,,0.00119781494140625,0.00013327598571777344
algerian_forest_fires_46279,,,feature_agglomeration,,DecisionTreeClassifier(random_state=0),1,0.7755102040816326,,,,0.0011284351348876953,0.00012969970703125
algerian_forest_fires_46279,,,feature_agglomeration,,DecisionTreeClassifier(random_state=0),2,0.8163265306122449,,,,0.0010936260223388672,0.00012946128845214844
algerian_forest_fires_46279,,,feature_agglomeration,,DecisionTreeClassifier(random_state=0),3,0.8125,,,,0.0010638236999511719,0.00012683868408203125
algerian_forest_fires_46279,,,feature_agglomeration,,DecisionTreeClassifier(random_state=0),4,0.8333333333333334,,,,0.0012106895446777344,0.0001277923583984375
algerian_forest_fires_46279,,,extra_tree,,DecisionTreeClassifier(random_state=0),0,1.0,,,,0.0011935234069824219,0.00012946128845214844
algerian_forest_fires_46279,,,extra_tree,,DecisionTreeClassifier(random_state=0),1,0.9795918367346939,,,,0.0011637210845947266,0.0001289844512939453
algerian_forest_fires_46279,,,extra_tree,,DecisionTreeClassifier(random_state=0),2,1.0,,,,0.0011005401611328125,0.00015211105346679688
