Dataset,Imputer Strategy,Categorical Strategy,Feature Selection,Scaler,Classifier,Fold,Fold Accuracy,Error,Using_imputer,Using_cat,Training Time,Testing Time
algerian_forest_fires_46279,,,,,ExtraTreesClassifier(random_state=0),0,0.9591836734693877,,,,0.07939267158508301,0.005368471145629883
algerian_forest_fires_46279,,,,,ExtraTreesClassifier(random_state=0),1,0.9795918367346939,,,,0.07912087440490723,0.005453348159790039
algerian_forest_fires_46279,,,,,ExtraTreesClassifier(random_state=0),2,1.0,,,,0.07961249351501465,0.005492210388183594
algerian_forest_fires_46279,,,,,ExtraTreesClassifier(random_state=0),3,0.9791666666666666,,,,0.08072805404663086,0.005278110504150391
algerian_forest_fires_46279,,,,,ExtraTreesClassifier(random_state=0),4,0.9583333333333334,,,,0.08086538314819336,0.0055468082427978516
algerian_forest_fires_46279,,,pca,,ExtraTreesClassifier(random_state=0),0,0.9795918367346939,,,,0.0836954116821289,0.00470423698425293
algerian_forest_fires_46279,,,pca,,ExtraTreesClassifier(random_state=0),1,0.9591836734693877,,,,0.0826864242553711,0.004666566848754883
algerian_forest_fires_46279,,,pca,,ExtraTreesClassifier(random_state=0),2,0.9183673469387755,,,,0.08246469497680664,0.004695415496826172
algerian_forest_fires_46279,,,pca,,ExtraTreesClassifier(random_state=0),3,0.9375,,,,0.08225178718566895,0.004511833190917969
algerian_forest_fires_46279,,,pca,,ExtraTreesClassifier(random_state=0),4,0.9375,,,,0.0804891586303711,0.004540920257568359
algerian_forest_fires_46279,,,fastica,,ExtraTreesClassifier(random_state=0),0,0.6530612244897959,,,,0.08691143989562988,0.004993438720703125
algerian_forest_fires_46279,,,fastica,,ExtraTreesClassifier(random_state=0),1,0.8163265306122449,,,,0.08260297775268555,0.004652500152587891
algerian_forest_fires_46279,,,fastica,,ExtraTreesClassifier(random_state=0),2,0.9183673469387755,,,,0.08246135711669922,0.0044918060302734375
algerian_forest_fires_46279,,,fastica,,ExtraTreesClassifier(random_state=0),3,0.9166666666666666,,,,0.08228325843811035,0.004515647888183594
algerian_forest_fires_46279,,,fastica,,ExtraTreesClassifier(random_state=0),4,0.6875,,,,0.08408927917480469,0.0046579837799072266
algerian_forest_fires_46279,,,truncated_svd,,ExtraTreesClassifier(random_state=0),0,0.8367346938775511,,,,0.0774390697479248,0.004583835601806641
algerian_forest_fires_46279,,,truncated_svd,,ExtraTreesClassifier(random_state=0),1,0.7755102040816326,,,,0.07778334617614746,0.0046617984771728516
algerian_forest_fires_46279,,,truncated_svd,,ExtraTreesClassifier(random_state=0),2,0.7959183673469388,,,,0.07808923721313477,0.004470348358154297
algerian_forest_fires_46279,,,truncated_svd,,ExtraTreesClassifier(random_state=0),3,0.8541666666666666,,,,0.07781791687011719,0.0045926570892333984
algerian_forest_fires_46279,,,truncated_svd,,ExtraTreesClassifier(random_state=0),4,0.875,,,,0.0784759521484375,0.004686117172241211
algerian_forest_fires_46279,,,select_percentile,,ExtraTreesClassifier(random_state=0),0,0.9795918367346939,,,,0.07754659652709961,0.004561424255371094
algerian_forest_fires_46279,,,select_percentile,,ExtraTreesClassifier(random_state=0),1,0.9795918367346939,,,,0.07704997062683105,0.004477739334106445
algerian_forest_fires_46279,,,select_percentile,,ExtraTreesClassifier(random_state=0),2,1.0,,,,0.07709503173828125,0.004571676254272461
algerian_forest_fires_46279,,,select_percentile,,ExtraTreesClassifier(random_state=0),3,0.9791666666666666,,,,0.07698512077331543,0.0047397613525390625
algerian_forest_fires_46279,,,select_percentile,,ExtraTreesClassifier(random_state=0),4,0.9583333333333334,,,,0.08576822280883789,0.004616975784301758
algerian_forest_fires_46279,,,generic_univariate,,ExtraTreesClassifier(random_state=0),0,1.0,,,,0.07793092727661133,0.004550933837890625
algerian_forest_fires_46279,,,generic_univariate,,ExtraTreesClassifier(random_state=0),1,1.0,,,,0.07698678970336914,0.0045070648193359375
algerian_forest_fires_46279,,,generic_univariate,,ExtraTreesClassifier(random_state=0),2,1.0,,,,0.07692527770996094,0.004496097564697266
algerian_forest_fires_46279,,,generic_univariate,,ExtraTreesClassifier(random_state=0),3,0.9583333333333334,,,,0.07725858688354492,0.004460811614990234
algerian_forest_fires_46279,,,generic_univariate,,ExtraTreesClassifier(random_state=0),4,0.9791666666666666,,,,0.07735109329223633,0.004454612731933594
algerian_forest_fires_46279,,,polynomial_features,,ExtraTreesClassifier(random_state=0),0,0.9591836734693877,,,,0.08169198036193848,0.0044896602630615234
algerian_forest_fires_46279,,,polynomial_features,,ExtraTreesClassifier(random_state=0),1,0.9795918367346939,,,,0.08229422569274902,0.004521369934082031
algerian_forest_fires_46279,,,polynomial_features,,ExtraTreesClassifier(random_state=0),2,1.0,,,,0.08279633522033691,0.004592418670654297
algerian_forest_fires_46279,,,polynomial_features,,ExtraTreesClassifier(random_state=0),3,0.9583333333333334,,,,0.08300328254699707,0.004471540451049805
algerian_forest_fires_46279,,,polynomial_features,,ExtraTreesClassifier(random_state=0),4,0.9583333333333334,,,,0.08190774917602539,0.00445103645324707
algerian_forest_fires_46279,,,nystroem,,ExtraTreesClassifier(random_state=0),0,0.673469387755102,,,,0.14803290367126465,0.00581049919128418
algerian_forest_fires_46279,,,nystroem,,ExtraTreesClassifier(random_state=0),1,0.8571428571428571,,,,0.1492319107055664,0.005738019943237305
algerian_forest_fires_46279,,,nystroem,,ExtraTreesClassifier(random_state=0),2,0.8367346938775511,,,,0.1479654312133789,0.005697727203369141
