Dataset,Imputer Strategy,Categorical Strategy,Feature Selection,Scaler,Classifier,Fold,Fold Accuracy,Error,Using_imputer,Using_cat,Training Time,Testing Time
algerian_forest_fires_46279,,,,,GaussianNB(),0,0.9183673469387755,,,,0.002047300338745117,0.0009474754333496094
algerian_forest_fires_46279,,,,,GaussianNB(),1,0.9387755102040817,,,,0.0018465518951416016,0.0009362697601318359
algerian_forest_fires_46279,,,,,GaussianNB(),2,0.9591836734693877,,,,0.002073526382446289,0.0011074542999267578
algerian_forest_fires_46279,,,,,GaussianNB(),3,0.9583333333333334,,,,0.0017614364624023438,0.0009293556213378906
algerian_forest_fires_46279,,,,,GaussianNB(),4,0.9583333333333334,,,,0.0018725395202636719,0.0009717941284179688
algerian_forest_fires_46279,,,pca,,GaussianNB(),0,0.7959183673469388,,,,0.0009725093841552734,0.00016880035400390625
algerian_forest_fires_46279,,,pca,,GaussianNB(),1,0.9183673469387755,,,,0.0009500980377197266,0.0001671314239501953
algerian_forest_fires_46279,,,pca,,GaussianNB(),2,0.8775510204081632,,,,0.0012509822845458984,0.0002892017364501953
algerian_forest_fires_46279,,,pca,,GaussianNB(),3,0.8958333333333334,,,,0.0009965896606445312,0.00016760826110839844
algerian_forest_fires_46279,,,pca,,GaussianNB(),4,0.9166666666666666,,,,0.0008978843688964844,0.00016427040100097656
algerian_forest_fires_46279,,,fastica,,GaussianNB(),0,0.6122448979591837,,,,0.0009157657623291016,0.0001666545867919922
algerian_forest_fires_46279,,,fastica,,GaussianNB(),1,0.673469387755102,,,,0.0008814334869384766,0.00016355514526367188
algerian_forest_fires_46279,,,fastica,,GaussianNB(),2,0.7346938775510204,,,,0.0009627342224121094,0.0001952648162841797
algerian_forest_fires_46279,,,fastica,,GaussianNB(),3,0.7083333333333334,,,,0.0009500980377197266,0.00017786026000976562
algerian_forest_fires_46279,,,fastica,,GaussianNB(),4,0.4583333333333333,,,,0.0009145736694335938,0.00016427040100097656
algerian_forest_fires_46279,,,truncated_svd,,GaussianNB(),0,0.7959183673469388,,,,0.0008442401885986328,0.0001857280731201172
algerian_forest_fires_46279,,,truncated_svd,,GaussianNB(),1,0.6938775510204082,,,,0.0009396076202392578,0.000156402587890625
algerian_forest_fires_46279,,,truncated_svd,,GaussianNB(),2,0.7959183673469388,,,,0.0009088516235351562,0.00018334388732910156
algerian_forest_fires_46279,,,truncated_svd,,GaussianNB(),3,0.7708333333333334,,,,0.0008363723754882812,0.00018358230590820312
algerian_forest_fires_46279,,,truncated_svd,,GaussianNB(),4,0.8541666666666666,,,,0.0008394718170166016,0.00015473365783691406
algerian_forest_fires_46279,,,select_percentile,,GaussianNB(),0,0.9795918367346939,,,,0.0008490085601806641,0.0001552104949951172
algerian_forest_fires_46279,,,select_percentile,,GaussianNB(),1,0.9795918367346939,,,,0.0008068084716796875,0.00017786026000976562
algerian_forest_fires_46279,,,select_percentile,,GaussianNB(),2,0.9795918367346939,,,,0.0008516311645507812,0.00015306472778320312
algerian_forest_fires_46279,,,select_percentile,,GaussianNB(),3,1.0,,,,0.0008628368377685547,0.0001552104949951172
algerian_forest_fires_46279,,,select_percentile,,GaussianNB(),4,0.9583333333333334,,,,0.0008385181427001953,0.00015735626220703125
algerian_forest_fires_46279,,,generic_univariate,,GaussianNB(),0,0.9795918367346939,,,,0.0010492801666259766,0.00015354156494140625
algerian_forest_fires_46279,,,generic_univariate,,GaussianNB(),1,0.9795918367346939,,,,0.0007898807525634766,0.0001685619354248047
algerian_forest_fires_46279,,,generic_univariate,,GaussianNB(),2,0.9795918367346939,,,,0.0008230209350585938,0.0001513957977294922
algerian_forest_fires_46279,,,generic_univariate,,GaussianNB(),3,0.9583333333333334,,,,0.0008783340454101562,0.00015115737915039062
algerian_forest_fires_46279,,,generic_univariate,,GaussianNB(),4,0.9791666666666666,,,,0.0008664131164550781,0.00017523765563964844
algerian_forest_fires_46279,,,polynomial_features,,GaussianNB(),0,0.8979591836734694,,,,0.0014002323150634766,0.00020933151245117188
algerian_forest_fires_46279,,,polynomial_features,,GaussianNB(),1,0.9591836734693877,,,,0.0009999275207519531,0.0001842975616455078
algerian_forest_fires_46279,,,polynomial_features,,GaussianNB(),2,0.8979591836734694,,,,0.0009603500366210938,0.0002090930938720703
algerian_forest_fires_46279,,,polynomial_features,,GaussianNB(),3,0.9375,,,,0.0009453296661376953,0.00018310546875
algerian_forest_fires_46279,,,polynomial_features,,GaussianNB(),4,0.9583333333333334,,,,0.0009686946868896484,0.00018358230590820312
algerian_forest_fires_46279,,,nystroem,,GaussianNB(),0,0.6326530612244898,,,,0.001142740249633789,0.0002262592315673828
algerian_forest_fires_46279,,,nystroem,,GaussianNB(),1,0.6122448979591837,,,,0.001207113265991211,0.00023555755615234375
algerian_forest_fires_46279,,,nystroem,,GaussianNB(),2,0.5714285714285714,,,,0.001253366470336914,0.0002167224884033203
algerian_forest_fires_46279,,,nystroem,,GaussianNB(),3,0.5416666666666666,,,,0.0012874603271484375,0.00023651123046875
algerian_forest_fires_46279,,,nystroem,,GaussianNB(),4,0.625,,,,0.00124359130859375,0.00021958351135253906
algerian_forest_fires_46279,,,rbf_sampler,,GaussianNB(),0,0.6326530612244898,,,,0.001131296157836914,0.00019860267639160156
algerian_forest_fires_46279,,,rbf_sampler,,GaussianNB(),1,0.5102040816326531,,,,0.0011687278747558594,0.00025343894958496094
algerian_forest_fires_46279,,,rbf_sampler,,GaussianNB(),2,0.5306122448979592,,,,0.0010979175567626953,0.0002052783966064453
algerian_forest_fires_46279,,,rbf_sampler,,GaussianNB(),3,0.5416666666666666,,,,0.0009953975677490234,0.00019407272338867188
algerian_forest_fires_46279,,,rbf_sampler,,GaussianNB(),4,0.4791666666666667,,,,0.0010685920715332031,0.00019693374633789062
