Dataset,Imputer Strategy,Categorical Strategy,Feature Selection,Scaler,Classifier,Fold,Fold Accuracy,Error,Using_imputer,Using_cat,Training Time,Testing Time
algerian_forest_fires_46279,,,,,HistGradientBoostingClassifier(random_state=0),0,0.9795918367346939,,,,0.12570476531982422,0.005000591278076172
algerian_forest_fires_46279,,,,,HistGradientBoostingClassifier(random_state=0),1,0.9795918367346939,,,,0.08973908424377441,0.002889871597290039
algerian_forest_fires_46279,,,,,HistGradientBoostingClassifier(random_state=0),2,0.9795918367346939,,,,0.08305096626281738,0.0034334659576416016
algerian_forest_fires_46279,,,,,HistGradientBoostingClassifier(random_state=0),3,1.0,,,,0.09602522850036621,0.0026886463165283203
algerian_forest_fires_46279,,,,,HistGradientBoostingClassifier(random_state=0),4,0.9583333333333334,,,,0.08360600471496582,0.0025658607482910156
algerian_forest_fires_46279,,,pca,,HistGradientBoostingClassifier(random_state=0),0,0.8979591836734694,,,,0.07036375999450684,0.002199888229370117
algerian_forest_fires_46279,,,pca,,HistGradientBoostingClassifier(random_state=0),1,0.9591836734693877,,,,0.07008910179138184,0.001650094985961914
algerian_forest_fires_46279,,,pca,,HistGradientBoostingClassifier(random_state=0),2,0.9183673469387755,,,,0.07330465316772461,0.0016269683837890625
algerian_forest_fires_46279,,,pca,,HistGradientBoostingClassifier(random_state=0),3,0.9583333333333334,,,,0.08845067024230957,0.0016565322875976562
algerian_forest_fires_46279,,,pca,,HistGradientBoostingClassifier(random_state=0),4,0.9583333333333334,,,,0.08554887771606445,0.0020139217376708984
algerian_forest_fires_46279,,,fastica,,HistGradientBoostingClassifier(random_state=0),0,0.673469387755102,,,,0.08439874649047852,0.00179290771484375
algerian_forest_fires_46279,,,fastica,,HistGradientBoostingClassifier(random_state=0),1,0.7551020408163265,,,,0.08960223197937012,0.002446413040161133
algerian_forest_fires_46279,,,fastica,,HistGradientBoostingClassifier(random_state=0),2,0.8979591836734694,,,,0.07507920265197754,0.002099752426147461
algerian_forest_fires_46279,,,fastica,,HistGradientBoostingClassifier(random_state=0),3,0.9166666666666666,,,,0.08617377281188965,0.0020453929901123047
algerian_forest_fires_46279,,,fastica,,HistGradientBoostingClassifier(random_state=0),4,0.6041666666666666,,,,0.08621692657470703,0.0021162033081054688
algerian_forest_fires_46279,,,truncated_svd,,HistGradientBoostingClassifier(random_state=0),0,0.8571428571428571,,,,0.08377528190612793,0.002469301223754883
algerian_forest_fires_46279,,,truncated_svd,,HistGradientBoostingClassifier(random_state=0),1,0.7755102040816326,,,,0.0801243782043457,0.0021097660064697266
algerian_forest_fires_46279,,,truncated_svd,,HistGradientBoostingClassifier(random_state=0),2,0.7959183673469388,,,,0.08850741386413574,0.0021224021911621094
algerian_forest_fires_46279,,,truncated_svd,,HistGradientBoostingClassifier(random_state=0),3,0.875,,,,0.07606339454650879,0.0018737316131591797
algerian_forest_fires_46279,,,truncated_svd,,HistGradientBoostingClassifier(random_state=0),4,0.8958333333333334,,,,0.08381056785583496,0.0018749237060546875
algerian_forest_fires_46279,,,select_percentile,,HistGradientBoostingClassifier(random_state=0),0,1.0,,,,0.07501387596130371,0.0017948150634765625
algerian_forest_fires_46279,,,select_percentile,,HistGradientBoostingClassifier(random_state=0),1,0.9795918367346939,,,,0.08453607559204102,0.002153635025024414
algerian_forest_fires_46279,,,select_percentile,,HistGradientBoostingClassifier(random_state=0),2,1.0,,,,0.07917213439941406,0.0016248226165771484
algerian_forest_fires_46279,,,select_percentile,,HistGradientBoostingClassifier(random_state=0),3,0.9791666666666666,,,,0.07903575897216797,0.0016684532165527344
algerian_forest_fires_46279,,,select_percentile,,HistGradientBoostingClassifier(random_state=0),4,0.9375,,,,0.07125282287597656,0.001760721206665039
algerian_forest_fires_46279,,,generic_univariate,,HistGradientBoostingClassifier(random_state=0),0,0.9795918367346939,,,,0.07550334930419922,0.0020334720611572266
algerian_forest_fires_46279,,,generic_univariate,,HistGradientBoostingClassifier(random_state=0),1,0.9795918367346939,,,,0.06518316268920898,0.001678466796875
algerian_forest_fires_46279,,,generic_univariate,,HistGradientBoostingClassifier(random_state=0),2,0.9795918367346939,,,,0.07848572731018066,0.0016520023345947266
algerian_forest_fires_46279,,,generic_univariate,,HistGradientBoostingClassifier(random_state=0),3,0.9583333333333334,,,,0.07299423217773438,0.002234220504760742
algerian_forest_fires_46279,,,generic_univariate,,HistGradientBoostingClassifier(random_state=0),4,0.9791666666666666,,,,0.07827138900756836,0.0020241737365722656
algerian_forest_fires_46279,,,polynomial_features,,HistGradientBoostingClassifier(random_state=0),0,0.9591836734693877,,,,0.12126541137695312,0.0018486976623535156
algerian_forest_fires_46279,,,polynomial_features,,HistGradientBoostingClassifier(random_state=0),1,0.9795918367346939,,,,0.11811065673828125,0.002224445343017578
algerian_forest_fires_46279,,,polynomial_features,,HistGradientBoostingClassifier(random_state=0),2,0.9795918367346939,,,,0.10747122764587402,0.0017015933990478516
algerian_forest_fires_46279,,,polynomial_features,,HistGradientBoostingClassifier(random_state=0),3,0.9791666666666666,,,,0.12127161026000977,0.0019724369049072266
algerian_forest_fires_46279,,,polynomial_features,,HistGradientBoostingClassifier(random_state=0),4,0.9583333333333334,,,,0.11612272262573242,0.0016021728515625
algerian_forest_fires_46279,,,nystroem,,HistGradientBoostingClassifier(random_state=0),0,0.8571428571428571,,,,0.16436147689819336,0.0022034645080566406
algerian_forest_fires_46279,,,nystroem,,HistGradientBoostingClassifier(random_state=0),1,0.8775510204081632,,,,0.16234731674194336,0.0018792152404785156
algerian_forest_fires_46279,,,nystroem,,HistGradientBoostingClassifier(random_state=0),2,0.7346938775510204,,,,0.16350817680358887,0.0018260478973388672
algerian_forest_fires_46279,,,nystroem,,HistGradientBoostingClassifier(random_state=0),3,0.8958333333333334,,,,0.11735796928405762,0.0020804405212402344
algerian_forest_fires_46279,,,nystroem,,HistGradientBoostingClassifier(random_state=0),4,0.9583333333333334,,,,0.13114047050476074,0.001917123794555664
algerian_forest_fires_46279,,,rbf_sampler,,HistGradientBoostingClassifier(random_state=0),0,0.6326530612244898,,,,0.1089472770690918,0.0021920204162597656
algerian_forest_fires_46279,,,rbf_sampler,,HistGradientBoostingClassifier(random_state=0),1,0.5306122448979592,,,,0.11317133903503418,0.0021424293518066406
algerian_forest_fires_46279,,,rbf_sampler,,HistGradientBoostingClassifier(random_state=0),2,0.6122448979591837,,,,0.11080360412597656,0.0017800331115722656
