Dataset,Imputer Strategy,Categorical Strategy,Feature Selection,Scaler,Classifier,Fold,Fold Accuracy,Error,Using_imputer,Using_cat,Training Time,Testing Time
algerian_forest_fires_46279,,,,,KNeighborsClassifier(),0,0.8979591836734694,,,,0.032794952392578125,0.005533933639526367
algerian_forest_fires_46279,,,,,KNeighborsClassifier(),1,0.8979591836734694,,,,0.0016431808471679688,0.004306793212890625
algerian_forest_fires_46279,,,,,KNeighborsClassifier(),2,0.8775510204081632,,,,0.0016574859619140625,0.00437164306640625
algerian_forest_fires_46279,,,,,KNeighborsClassifier(),3,0.8958333333333334,,,,0.001605987548828125,0.004220485687255859
algerian_forest_fires_46279,,,,,KNeighborsClassifier(),4,0.9375,,,,0.0016376972198486328,0.004282474517822266
algerian_forest_fires_46279,,,pca,,KNeighborsClassifier(),0,0.8979591836734694,,,,0.0007956027984619141,0.0036182403564453125
algerian_forest_fires_46279,,,pca,,KNeighborsClassifier(),1,0.8979591836734694,,,,0.0009751319885253906,0.004246711730957031
algerian_forest_fires_46279,,,pca,,KNeighborsClassifier(),2,0.8775510204081632,,,,0.0007772445678710938,0.003470182418823242
algerian_forest_fires_46279,,,pca,,KNeighborsClassifier(),3,0.8958333333333334,,,,0.0007603168487548828,0.0034797191619873047
algerian_forest_fires_46279,,,pca,,KNeighborsClassifier(),4,0.9375,,,,0.0007882118225097656,0.003515958786010742
algerian_forest_fires_46279,,,fastica,,KNeighborsClassifier(),0,0.6530612244897959,,,,0.0007796287536621094,0.003532886505126953
algerian_forest_fires_46279,,,fastica,,KNeighborsClassifier(),1,0.7755102040816326,,,,0.00079345703125,0.003600597381591797
algerian_forest_fires_46279,,,fastica,,KNeighborsClassifier(),2,0.8775510204081632,,,,0.0009441375732421875,0.0037229061126708984
algerian_forest_fires_46279,,,fastica,,KNeighborsClassifier(),3,0.8958333333333334,,,,0.0007879734039306641,0.003587961196899414
algerian_forest_fires_46279,,,fastica,,KNeighborsClassifier(),4,0.5833333333333334,,,,0.0008103847503662109,0.0035223960876464844
algerian_forest_fires_46279,,,truncated_svd,,KNeighborsClassifier(),0,0.8163265306122449,,,,0.0007569789886474609,0.003487825393676758
algerian_forest_fires_46279,,,truncated_svd,,KNeighborsClassifier(),1,0.8163265306122449,,,,0.0007352828979492188,0.003493785858154297
algerian_forest_fires_46279,,,truncated_svd,,KNeighborsClassifier(),2,0.8367346938775511,,,,0.0007665157318115234,0.0035796165466308594
algerian_forest_fires_46279,,,truncated_svd,,KNeighborsClassifier(),3,0.8125,,,,0.0006792545318603516,0.0036437511444091797
algerian_forest_fires_46279,,,truncated_svd,,KNeighborsClassifier(),4,0.8958333333333334,,,,0.0007331371307373047,0.003461122512817383
algerian_forest_fires_46279,,,select_percentile,,KNeighborsClassifier(),0,0.9795918367346939,,,,0.0007600784301757812,0.0034286975860595703
algerian_forest_fires_46279,,,select_percentile,,KNeighborsClassifier(),1,0.9795918367346939,,,,0.0007300376892089844,0.0036089420318603516
