Dataset,Imputer Strategy,Categorical Strategy,Feature Selection,Scaler,Classifier,Fold,Fold Accuracy,Error,Using_imputer,Using_cat,Training Time,Testing Time
algerian_forest_fires_46279,,,,,LinearDiscriminantAnalysis(),0,0.9387755102040817,,,,0.0027704238891601562,0.0010542869567871094
algerian_forest_fires_46279,,,,,LinearDiscriminantAnalysis(),1,0.9591836734693877,,,,0.002288341522216797,0.0009698867797851562
algerian_forest_fires_46279,,,,,LinearDiscriminantAnalysis(),2,0.9387755102040817,,,,0.0022819042205810547,0.0009303092956542969
algerian_forest_fires_46279,,,,,LinearDiscriminantAnalysis(),3,0.9375,,,,0.0021796226501464844,0.0009446144104003906
algerian_forest_fires_46279,,,,,LinearDiscriminantAnalysis(),4,0.8958333333333334,,,,0.002165555953979492,0.0008556842803955078
algerian_forest_fires_46279,,,pca,,LinearDiscriminantAnalysis(),0,0.9183673469387755,,,,0.0013592243194580078,0.00011873245239257812
algerian_forest_fires_46279,,,pca,,LinearDiscriminantAnalysis(),1,0.9591836734693877,,,,0.0013360977172851562,0.00013685226440429688
algerian_forest_fires_46279,,,pca,,LinearDiscriminantAnalysis(),2,0.9387755102040817,,,,0.0013647079467773438,0.00011801719665527344
algerian_forest_fires_46279,,,pca,,LinearDiscriminantAnalysis(),3,0.9375,,,,0.0013856887817382812,0.0001201629638671875
algerian_forest_fires_46279,,,pca,,LinearDiscriminantAnalysis(),4,0.875,,,,0.0013802051544189453,0.00012493133544921875
algerian_forest_fires_46279,,,fastica,,LinearDiscriminantAnalysis(),0,0.9387755102040817,,,,0.001277923583984375,0.00012087821960449219
algerian_forest_fires_46279,,,fastica,,LinearDiscriminantAnalysis(),1,0.9591836734693877,,,,0.0012955665588378906,0.00011706352233886719
algerian_forest_fires_46279,,,fastica,,LinearDiscriminantAnalysis(),2,0.9387755102040817,,,,0.0013577938079833984,0.00018644332885742188
algerian_forest_fires_46279,,,fastica,,LinearDiscriminantAnalysis(),3,0.9375,,,,0.0014176368713378906,0.00014162063598632812
algerian_forest_fires_46279,,,fastica,,LinearDiscriminantAnalysis(),4,0.8958333333333334,,,,0.0012972354888916016,0.0001373291015625
algerian_forest_fires_46279,,,truncated_svd,,LinearDiscriminantAnalysis(),0,0.7551020408163265,,,,0.0011181831359863281,0.0001761913299560547
algerian_forest_fires_46279,,,truncated_svd,,LinearDiscriminantAnalysis(),1,0.7346938775510204,,,,0.0011374950408935547,0.0001163482666015625
algerian_forest_fires_46279,,,truncated_svd,,LinearDiscriminantAnalysis(),2,0.7959183673469388,,,,0.0012745857238769531,0.00012493133544921875
algerian_forest_fires_46279,,,truncated_svd,,LinearDiscriminantAnalysis(),3,0.7916666666666666,,,,0.0011966228485107422,0.00011730194091796875
algerian_forest_fires_46279,,,truncated_svd,,LinearDiscriminantAnalysis(),4,0.8333333333333334,,,,0.0012252330780029297,0.0001430511474609375
algerian_forest_fires_46279,,,select_percentile,,LinearDiscriminantAnalysis(),0,0.9387755102040817,,,,0.0012085437774658203,0.000118255615234375
algerian_forest_fires_46279,,,select_percentile,,LinearDiscriminantAnalysis(),1,0.9591836734693877,,,,0.0011682510375976562,0.00017642974853515625
algerian_forest_fires_46279,,,select_percentile,,LinearDiscriminantAnalysis(),2,0.9795918367346939,,,,0.0011553764343261719,0.0001163482666015625
algerian_forest_fires_46279,,,select_percentile,,LinearDiscriminantAnalysis(),3,0.9375,,,,0.001148223876953125,0.0001163482666015625
algerian_forest_fires_46279,,,select_percentile,,LinearDiscriminantAnalysis(),4,1.0,,,,0.0011856555938720703,0.00013256072998046875
algerian_forest_fires_46279,,,generic_univariate,,LinearDiscriminantAnalysis(),0,0.8367346938775511,,,,0.001172780990600586,0.00012373924255371094
algerian_forest_fires_46279,,,generic_univariate,,LinearDiscriminantAnalysis(),1,0.8367346938775511,,,,0.001138925552368164,0.00012159347534179688
algerian_forest_fires_46279,,,generic_univariate,,LinearDiscriminantAnalysis(),2,0.8775510204081632,,,,0.0010411739349365234,0.00011324882507324219
algerian_forest_fires_46279,,,generic_univariate,,LinearDiscriminantAnalysis(),3,0.9166666666666666,,,,0.001104116439819336,0.00011467933654785156
algerian_forest_fires_46279,,,generic_univariate,,LinearDiscriminantAnalysis(),4,0.8958333333333334,,,,0.00109100341796875,0.0001163482666015625
algerian_forest_fires_46279,,,polynomial_features,,LinearDiscriminantAnalysis(),0,0.9387755102040817,,,,0.007637739181518555,0.00020694732666015625
algerian_forest_fires_46279,,,polynomial_features,,LinearDiscriminantAnalysis(),1,0.9795918367346939,,,,0.006892204284667969,0.00016546249389648438
algerian_forest_fires_46279,,,polynomial_features,,LinearDiscriminantAnalysis(),2,0.9183673469387755,,,,0.0067272186279296875,0.00015854835510253906
algerian_forest_fires_46279,,,polynomial_features,,LinearDiscriminantAnalysis(),3,0.9166666666666666,,,,0.007951498031616211,0.0001952648162841797
