Dataset,Imputer Strategy,Categorical Strategy,Feature Selection,Scaler,Classifier,Fold,Fold Accuracy,Error,Using_imputer,Using_cat,Training Time,Testing Time
algerian_forest_fires_46279,,,,,MLPClassifier(random_state=0),0,0.7755102040816326,,,,0.02590346336364746,0.0011646747589111328
algerian_forest_fires_46279,,,,,MLPClassifier(random_state=0),1,0.7346938775510204,,,,0.024170637130737305,0.0012326240539550781
algerian_forest_fires_46279,,,,,MLPClassifier(random_state=0),2,0.8163265306122449,,,,0.024058818817138672,0.0011091232299804688
algerian_forest_fires_46279,,,,,MLPClassifier(random_state=0),3,0.4166666666666667,,,,0.017295122146606445,0.0011506080627441406
algerian_forest_fires_46279,,,,,MLPClassifier(random_state=0),4,0.7291666666666666,,,,0.023866653442382812,0.0010349750518798828
algerian_forest_fires_46279,,,pca,,MLPClassifier(random_state=0),0,0.9795918367346939,,,,0.10303926467895508,0.00020837783813476562
algerian_forest_fires_46279,,,pca,,MLPClassifier(random_state=0),1,0.9591836734693877,,,,0.10151028633117676,0.00019288063049316406
algerian_forest_fires_46279,,,pca,,MLPClassifier(random_state=0),2,0.9795918367346939,,,,0.10721421241760254,0.0001938343048095703
algerian_forest_fires_46279,,,pca,,MLPClassifier(random_state=0),3,0.9791666666666666,,,,0.10229921340942383,0.00019168853759765625
algerian_forest_fires_46279,,,pca,,MLPClassifier(random_state=0),4,0.9375,,,,0.10126972198486328,0.00018167495727539062
algerian_forest_fires_46279,,,fastica,,MLPClassifier(random_state=0),0,0.7346938775510204,,,,0.09535408020019531,0.00018906593322753906
algerian_forest_fires_46279,,,fastica,,MLPClassifier(random_state=0),1,0.9387755102040817,,,,0.09740495681762695,0.00025177001953125
algerian_forest_fires_46279,,,fastica,,MLPClassifier(random_state=0),2,0.9183673469387755,,,,0.10169744491577148,0.0002281665802001953
algerian_forest_fires_46279,,,fastica,,MLPClassifier(random_state=0),3,1.0,,,,0.1020808219909668,0.00018715858459472656
algerian_forest_fires_46279,,,fastica,,MLPClassifier(random_state=0),4,0.875,,,,0.09756684303283691,0.0001881122589111328
algerian_forest_fires_46279,,,truncated_svd,,MLPClassifier(random_state=0),0,0.6122448979591837,,,,0.011426448822021484,0.00015044212341308594
algerian_forest_fires_46279,,,truncated_svd,,MLPClassifier(random_state=0),1,0.5918367346938775,,,,0.011394023895263672,0.00015044212341308594
algerian_forest_fires_46279,,,truncated_svd,,MLPClassifier(random_state=0),2,0.7551020408163265,,,,0.013129949569702148,0.00017523765563964844
algerian_forest_fires_46279,,,truncated_svd,,MLPClassifier(random_state=0),3,0.6041666666666666,,,,0.009481668472290039,0.00015115737915039062
algerian_forest_fires_46279,,,truncated_svd,,MLPClassifier(random_state=0),4,0.5833333333333334,,,,0.011432170867919922,0.0001499652862548828
algerian_forest_fires_46279,,,select_percentile,,MLPClassifier(random_state=0),0,0.9591836734693877,,,,0.08425092697143555,0.00018167495727539062
algerian_forest_fires_46279,,,select_percentile,,MLPClassifier(random_state=0),1,1.0,,,,0.08559465408325195,0.0002079010009765625
algerian_forest_fires_46279,,,select_percentile,,MLPClassifier(random_state=0),2,0.9591836734693877,,,,0.08453106880187988,0.0001823902130126953
algerian_forest_fires_46279,,,select_percentile,,MLPClassifier(random_state=0),3,0.9583333333333334,,,,0.0841522216796875,0.0001857280731201172
algerian_forest_fires_46279,,,select_percentile,,MLPClassifier(random_state=0),4,0.9375,,,,0.08477210998535156,0.0002269744873046875
algerian_forest_fires_46279,,,generic_univariate,,MLPClassifier(random_state=0),0,0.6530612244897959,,,,0.08178973197937012,0.0002110004425048828
algerian_forest_fires_46279,,,generic_univariate,,MLPClassifier(random_state=0),1,0.6326530612244898,,,,0.08197426795959473,0.00020384788513183594
algerian_forest_fires_46279,,,generic_univariate,,MLPClassifier(random_state=0),2,0.6122448979591837,,,,0.08144998550415039,0.00022292137145996094
algerian_forest_fires_46279,,,generic_univariate,,MLPClassifier(random_state=0),3,0.7708333333333334,,,,0.0817728042602539,0.0001800060272216797
algerian_forest_fires_46279,,,generic_univariate,,MLPClassifier(random_state=0),4,0.6666666666666666,,,,0.08199286460876465,0.00023221969604492188
algerian_forest_fires_46279,,,polynomial_features,,MLPClassifier(random_state=0),0,0.5510204081632653,,,,0.061028242111206055,0.0003559589385986328
algerian_forest_fires_46279,,,polynomial_features,,MLPClassifier(random_state=0),1,0.5510204081632653,,,,0.05806255340576172,0.00034618377685546875
algerian_forest_fires_46279,,,polynomial_features,,MLPClassifier(random_state=0),2,0.5714285714285714,,,,0.042536258697509766,0.0003211498260498047
algerian_forest_fires_46279,,,polynomial_features,,MLPClassifier(random_state=0),3,0.6041666666666666,,,,0.05475568771362305,0.0003371238708496094
algerian_forest_fires_46279,,,polynomial_features,,MLPClassifier(random_state=0),4,0.5416666666666666,,,,0.061977386474609375,0.00037980079650878906
algerian_forest_fires_46279,,,nystroem,,MLPClassifier(random_state=0),0,0.5918367346938775,,,,0.1953601837158203,0.0003192424774169922
algerian_forest_fires_46279,,,nystroem,,MLPClassifier(random_state=0),1,0.5714285714285714,,,,0.2084333896636963,0.0003173351287841797
algerian_forest_fires_46279,,,nystroem,,MLPClassifier(random_state=0),2,0.5714285714285714,,,,0.24782490730285645,0.0003147125244140625
algerian_forest_fires_46279,,,nystroem,,MLPClassifier(random_state=0),3,0.6666666666666666,,,,0.2443075180053711,0.0003285408020019531
algerian_forest_fires_46279,,,nystroem,,MLPClassifier(random_state=0),4,0.5833333333333334,,,,0.23256683349609375,0.0003674030303955078
algerian_forest_fires_46279,,,rbf_sampler,,MLPClassifier(random_state=0),0,0.6122448979591837,,,,0.20625972747802734,0.00034809112548828125
algerian_forest_fires_46279,,,rbf_sampler,,MLPClassifier(random_state=0),1,0.5102040816326531,,,,0.18742680549621582,0.00046706199645996094
algerian_forest_fires_46279,,,rbf_sampler,,MLPClassifier(random_state=0),2,0.5102040816326531,,,,0.20705795288085938,0.00032591819763183594
algerian_forest_fires_46279,,,rbf_sampler,,MLPClassifier(random_state=0),3,0.5208333333333334,,,,0.20139718055725098,0.00030684471130371094
algerian_forest_fires_46279,,,rbf_sampler,,MLPClassifier(random_state=0),4,0.5416666666666666,,,,0.20065617561340332,0.00032067298889160156
algerian_forest_fires_46279,,,random_trees_embedding,,MLPClassifier(random_state=0),0,0.9183673469387755,,,,0.720078706741333,0.0008902549743652344
algerian_forest_fires_46279,,,random_trees_embedding,,MLPClassifier(random_state=0),1,0.9591836734693877,,,,0.7143754959106445,0.00174713134765625
algerian_forest_fires_46279,,,random_trees_embedding,,MLPClassifier(random_state=0),2,0.9387755102040817,,,,0.8138704299926758,0.0006501674652099609
algerian_forest_fires_46279,,,random_trees_embedding,,MLPClassifier(random_state=0),3,0.9583333333333334,,,,1.6516144275665283,0.0006234645843505859
algerian_forest_fires_46279,,,random_trees_embedding,,MLPClassifier(random_state=0),4,0.9375,,,,0.7121315002441406,0.0006101131439208984
algerian_forest_fires_46279,,,feature_agglomeration,,MLPClassifier(random_state=0),0,0.5510204081632653,,,,0.03384709358215332,0.0002803802490234375
algerian_forest_fires_46279,,,feature_agglomeration,,MLPClassifier(random_state=0),1,0.5510204081632653,,,,0.02222895622253418,0.00016808509826660156
algerian_forest_fires_46279,,,feature_agglomeration,,MLPClassifier(random_state=0),2,0.5714285714285714,,,,0.020051002502441406,0.0001518726348876953
algerian_forest_fires_46279,,,feature_agglomeration,,MLPClassifier(random_state=0),3,0.3958333333333333,,,,0.014275312423706055,0.00015878677368164062
algerian_forest_fires_46279,,,feature_agglomeration,,MLPClassifier(random_state=0),4,0.5416666666666666,,,,0.011232376098632812,0.0001785755157470703
algerian_forest_fires_46279,,,extra_tree,,MLPClassifier(random_state=0),0,0.9183673469387755,,,,0.09906911849975586,0.00019884109497070312
algerian_forest_fires_46279,,,extra_tree,,MLPClassifier(random_state=0),1,0.7755102040816326,,,,0.010051488876342773,0.0001556873321533203
algerian_forest_fires_46279,,,extra_tree,,MLPClassifier(random_state=0),2,0.8367346938775511,,,,0.009992361068725586,0.0001823902130126953
algerian_forest_fires_46279,,,extra_tree,,MLPClassifier(random_state=0),3,0.7916666666666666,,,,0.010177135467529297,0.00015473365783691406
algerian_forest_fires_46279,,,extra_tree,,MLPClassifier(random_state=0),4,0.9583333333333334,,,,0.08581066131591797,0.0002048015594482422
algerian_forest_fires_46279,,,linear_svc,,MLPClassifier(random_state=0),0,0.9387755102040817,,,,0.0896151065826416,0.00020813941955566406
algerian_forest_fires_46279,,,linear_svc,,MLPClassifier(random_state=0),1,0.9591836734693877,,,,0.08622384071350098,0.00019359588623046875
algerian_forest_fires_46279,,,linear_svc,,MLPClassifier(random_state=0),2,0.9591836734693877,,,,0.09323263168334961,0.00018835067749023438
algerian_forest_fires_46279,,,linear_svc,,MLPClassifier(random_state=0),3,0.9583333333333334,,,,0.08966779708862305,0.00018739700317382812
algerian_forest_fires_46279,,,linear_svc,,MLPClassifier(random_state=0),4,0.9583333333333334,,,,0.09055161476135254,0.00026154518127441406
algerian_forest_fires_46279,,,kernel_pca,,MLPClassifier(random_state=0),0,0.9591836734693877,,,,0.1302173137664795,0.0002491474151611328
algerian_forest_fires_46279,,,kernel_pca,,MLPClassifier(random_state=0),1,0.9591836734693877,,,,0.11999249458312988,0.00018644332885742188
algerian_forest_fires_46279,,,kernel_pca,,MLPClassifier(random_state=0),2,0.9591836734693877,,,,0.12877178192138672,0.00021958351135253906
algerian_forest_fires_46279,,,kernel_pca,,MLPClassifier(random_state=0),3,0.9791666666666666,,,,0.12790584564208984,0.0002455711364746094
algerian_forest_fires_46279,,,kernel_pca,,MLPClassifier(random_state=0),4,0.9583333333333334,,,,0.13770318031311035,0.0002028942108154297
algerian_forest_fires_46279,,,,standard,MLPClassifier(random_state=0),0,0.9183673469387755,,,,0.10591459274291992,0.00020599365234375
algerian_forest_fires_46279,,,,standard,MLPClassifier(random_state=0),1,0.9387755102040817,,,,0.1058650016784668,0.00019788742065429688
algerian_forest_fires_46279,,,,standard,MLPClassifier(random_state=0),2,0.8571428571428571,,,,0.10562014579772949,0.00019788742065429688
algerian_forest_fires_46279,,,,standard,MLPClassifier(random_state=0),3,0.9791666666666666,,,,0.10605812072753906,0.00020360946655273438
algerian_forest_fires_46279,,,,standard,MLPClassifier(random_state=0),4,0.9375,,,,0.10799455642700195,0.00022172927856445312
algerian_forest_fires_46279,,,pca,standard,MLPClassifier(random_state=0),0,0.9591836734693877,,,,0.10580325126647949,0.0001976490020751953
algerian_forest_fires_46279,,,pca,standard,MLPClassifier(random_state=0),1,0.9795918367346939,,,,0.10541796684265137,0.0002543926239013672
algerian_forest_fires_46279,,,pca,standard,MLPClassifier(random_state=0),2,0.9387755102040817,,,,0.10519075393676758,0.0001952648162841797
algerian_forest_fires_46279,,,pca,standard,MLPClassifier(random_state=0),3,0.9583333333333334,,,,0.10419416427612305,0.00018715858459472656
algerian_forest_fires_46279,,,pca,standard,MLPClassifier(random_state=0),4,0.9375,,,,0.10590052604675293,0.0001952648162841797
algerian_forest_fires_46279,,,fastica,standard,MLPClassifier(random_state=0),0,0.8163265306122449,,,,0.09960746765136719,0.0002460479736328125
algerian_forest_fires_46279,,,fastica,standard,MLPClassifier(random_state=0),1,0.5510204081632653,,,,0.012994050979614258,0.00019073486328125
algerian_forest_fires_46279,,,fastica,standard,MLPClassifier(random_state=0),2,0.9591836734693877,,,,0.10159540176391602,0.0002048015594482422
algerian_forest_fires_46279,,,fastica,standard,MLPClassifier(random_state=0),3,0.9583333333333334,,,,0.1024479866027832,0.0002071857452392578
algerian_forest_fires_46279,,,fastica,standard,MLPClassifier(random_state=0),4,0.9583333333333334,,,,0.0964055061340332,0.00017952919006347656
algerian_forest_fires_46279,,,truncated_svd,standard,MLPClassifier(random_state=0),0,0.8571428571428571,,,,0.08575892448425293,0.00018668174743652344
algerian_forest_fires_46279,,,truncated_svd,standard,MLPClassifier(random_state=0),1,0.8979591836734694,,,,0.08630728721618652,0.0001785755157470703
algerian_forest_fires_46279,,,truncated_svd,standard,MLPClassifier(random_state=0),2,0.8163265306122449,,,,0.08648562431335449,0.00017881393432617188
algerian_forest_fires_46279,,,truncated_svd,standard,MLPClassifier(random_state=0),3,0.9375,,,,0.0870048999786377,0.0001785755157470703
algerian_forest_fires_46279,,,truncated_svd,standard,MLPClassifier(random_state=0),4,0.9375,,,,0.08742213249206543,0.0002181529998779297
algerian_forest_fires_46279,,,select_percentile,standard,MLPClassifier(random_state=0),0,0.9591836734693877,,,,0.08603429794311523,0.0002040863037109375
algerian_forest_fires_46279,,,select_percentile,standard,MLPClassifier(random_state=0),1,0.9795918367346939,,,,0.08541607856750488,0.0001819133758544922
algerian_forest_fires_46279,,,select_percentile,standard,MLPClassifier(random_state=0),2,0.9795918367346939,,,,0.08524584770202637,0.00022459030151367188
algerian_forest_fires_46279,,,select_percentile,standard,MLPClassifier(random_state=0),3,1.0,,,,0.0852665901184082,0.00017905235290527344
algerian_forest_fires_46279,,,select_percentile,standard,MLPClassifier(random_state=0),4,0.9583333333333334,,,,0.08503198623657227,0.00018072128295898438
algerian_forest_fires_46279,,,generic_univariate,standard,MLPClassifier(random_state=0),0,0.8979591836734694,,,,0.08085393905639648,0.00017499923706054688
algerian_forest_fires_46279,,,generic_univariate,standard,MLPClassifier(random_state=0),1,0.9183673469387755,,,,0.08107829093933105,0.0001976490020751953
algerian_forest_fires_46279,,,generic_univariate,standard,MLPClassifier(random_state=0),2,0.9591836734693877,,,,0.08035802841186523,0.00021505355834960938
algerian_forest_fires_46279,,,generic_univariate,standard,MLPClassifier(random_state=0),3,0.9375,,,,0.08094525337219238,0.00018167495727539062
algerian_forest_fires_46279,,,generic_univariate,standard,MLPClassifier(random_state=0),4,0.9791666666666666,,,,0.08080291748046875,0.00021600723266601562
algerian_forest_fires_46279,,,polynomial_features,standard,MLPClassifier(random_state=0),0,0.9183673469387755,,,,0.9304466247558594,0.0006186962127685547
algerian_forest_fires_46279,,,polynomial_features,standard,MLPClassifier(random_state=0),1,0.9387755102040817,,,,0.9630181789398193,0.00034308433532714844
algerian_forest_fires_46279,,,polynomial_features,standard,MLPClassifier(random_state=0),2,0.9183673469387755,,,,1.065688133239746,0.00036454200744628906
algerian_forest_fires_46279,,,polynomial_features,standard,MLPClassifier(random_state=0),3,0.9583333333333334,,,,0.9839177131652832,0.00034165382385253906
algerian_forest_fires_46279,,,polynomial_features,standard,MLPClassifier(random_state=0),4,0.9375,,,,0.9926300048828125,0.0012845993041992188
algerian_forest_fires_46279,,,nystroem,standard,MLPClassifier(random_state=0),0,0.9591836734693877,,,,0.2727961540222168,0.00034165382385253906
algerian_forest_fires_46279,,,nystroem,standard,MLPClassifier(random_state=0),1,0.9591836734693877,,,,0.25285768508911133,0.0003523826599121094
algerian_forest_fires_46279,,,nystroem,standard,MLPClassifier(random_state=0),2,0.9387755102040817,,,,0.2606351375579834,0.00030803680419921875
algerian_forest_fires_46279,,,nystroem,standard,MLPClassifier(random_state=0),3,0.9791666666666666,,,,0.24415349960327148,0.00036716461181640625
algerian_forest_fires_46279,,,nystroem,standard,MLPClassifier(random_state=0),4,0.9375,,,,0.24989581108093262,0.0003349781036376953
algerian_forest_fires_46279,,,rbf_sampler,standard,MLPClassifier(random_state=0),0,0.5918367346938775,,,,0.19585299491882324,0.0003192424774169922
algerian_forest_fires_46279,,,rbf_sampler,standard,MLPClassifier(random_state=0),1,0.7551020408163265,,,,0.1969921588897705,0.00033545494079589844
algerian_forest_fires_46279,,,rbf_sampler,standard,MLPClassifier(random_state=0),2,0.6530612244897959,,,,0.18326377868652344,0.00028824806213378906
algerian_forest_fires_46279,,,rbf_sampler,standard,MLPClassifier(random_state=0),3,0.7083333333333334,,,,0.1900336742401123,0.0003211498260498047
algerian_forest_fires_46279,,,rbf_sampler,standard,MLPClassifier(random_state=0),4,0.6458333333333334,,,,0.1968543529510498,0.0002696514129638672
algerian_forest_fires_46279,,,random_trees_embedding,standard,MLPClassifier(random_state=0),0,0.9183673469387755,,,,0.5734515190124512,0.000576019287109375
algerian_forest_fires_46279,,,random_trees_embedding,standard,MLPClassifier(random_state=0),1,0.9591836734693877,,,,0.5994560718536377,0.0006515979766845703
