Dataset,Imputer Strategy,Categorical Strategy,Feature Selection,Scaler,Classifier,Fold,Fold Accuracy,Error,Using_imputer,Using_cat,Training Time,Testing Time
algerian_forest_fires_46279,,,,,MultinomialNB(),0,0.8367346938775511,,,,0.0026602745056152344,0.0009925365447998047
algerian_forest_fires_46279,,,,,MultinomialNB(),1,0.8571428571428571,,,,0.002783536911010742,0.0009486675262451172
algerian_forest_fires_46279,,,,,MultinomialNB(),2,0.8163265306122449,,,,0.0022726058959960938,0.001012563705444336
algerian_forest_fires_46279,,,,,MultinomialNB(),3,0.875,,,,0.0022857189178466797,0.0008800029754638672
algerian_forest_fires_46279,,,,,MultinomialNB(),4,0.8958333333333334,,,,0.002244234085083008,0.0009322166442871094
algerian_forest_fires_46279,,,pca,,MultinomialNB(),0,,"Erro na combinação 6 - Imputer: None, Categorização: None, Seleção de Feature: pca, Scaler: None, Fold: 0 - Exception: Negative values in data passed to MultinomialNB (input X)",,,0.002244234085083008,0.0009322166442871094
algerian_forest_fires_46279,,,pca,,MultinomialNB(),1,,"Erro na combinação 7 - Imputer: None, Categorização: None, Seleção de Feature: pca, Scaler: None, Fold: 1 - Exception: Negative values in data passed to MultinomialNB (input X)",,,0.002244234085083008,0.0009322166442871094
algerian_forest_fires_46279,,,pca,,MultinomialNB(),2,,"Erro na combinação 8 - Imputer: None, Categorização: None, Seleção de Feature: pca, Scaler: None, Fold: 2 - Exception: Negative values in data passed to MultinomialNB (input X)",,,0.002244234085083008,0.0009322166442871094
algerian_forest_fires_46279,,,pca,,MultinomialNB(),3,,"Erro na combinação 9 - Imputer: None, Categorização: None, Seleção de Feature: pca, Scaler: None, Fold: 3 - Exception: Negative values in data passed to MultinomialNB (input X)",,,0.002244234085083008,0.0009322166442871094
algerian_forest_fires_46279,,,pca,,MultinomialNB(),4,,"Erro na combinação 10 - Imputer: None, Categorização: None, Seleção de Feature: pca, Scaler: None, Fold: 4 - Exception: Negative values in data passed to MultinomialNB (input X)",,,0.002244234085083008,0.0009322166442871094
algerian_forest_fires_46279,,,fastica,,MultinomialNB(),0,,"Erro na combinação 11 - Imputer: None, Categorização: None, Seleção de Feature: fastica, Scaler: None, Fold: 0 - Exception: Negative values in data passed to MultinomialNB (input X)",,,0.002244234085083008,0.0009322166442871094
algerian_forest_fires_46279,,,fastica,,MultinomialNB(),1,,"Erro na combinação 12 - Imputer: None, Categorização: None, Seleção de Feature: fastica, Scaler: None, Fold: 1 - Exception: Negative values in data passed to MultinomialNB (input X)",,,0.002244234085083008,0.0009322166442871094
algerian_forest_fires_46279,,,fastica,,MultinomialNB(),2,,"Erro na combinação 13 - Imputer: None, Categorização: None, Seleção de Feature: fastica, Scaler: None, Fold: 2 - Exception: Negative values in data passed to MultinomialNB (input X)",,,0.002244234085083008,0.0009322166442871094
algerian_forest_fires_46279,,,fastica,,MultinomialNB(),3,,"Erro na combinação 14 - Imputer: None, Categorização: None, Seleção de Feature: fastica, Scaler: None, Fold: 3 - Exception: Negative values in data passed to MultinomialNB (input X)",,,0.002244234085083008,0.0009322166442871094
