Dataset,Imputer Strategy,Categorical Strategy,Feature Selection,Scaler,Classifier,Fold,Fold Accuracy,Error,Using_imputer,Using_cat,Training Time,Testing Time
algerian_forest_fires_46279,,,,,PassiveAggressiveClassifier(random_state=0),0,0.673469387755102,,,,0.004586696624755859,0.0009398460388183594
algerian_forest_fires_46279,,,,,PassiveAggressiveClassifier(random_state=0),1,0.6326530612244898,,,,0.002196073532104492,0.0008797645568847656
algerian_forest_fires_46279,,,,,PassiveAggressiveClassifier(random_state=0),2,0.6530612244897959,,,,0.0024166107177734375,0.0008666515350341797
algerian_forest_fires_46279,,,,,PassiveAggressiveClassifier(random_state=0),3,0.625,,,,0.0022933483123779297,0.0008585453033447266
algerian_forest_fires_46279,,,,,PassiveAggressiveClassifier(random_state=0),4,0.8958333333333334,,,,0.0022656917572021484,0.0009000301361083984
algerian_forest_fires_46279,,,pca,,PassiveAggressiveClassifier(random_state=0),0,0.9795918367346939,,,,0.0012602806091308594,0.00012254714965820312
algerian_forest_fires_46279,,,pca,,PassiveAggressiveClassifier(random_state=0),1,0.9795918367346939,,,,0.0012350082397460938,0.00011754035949707031
algerian_forest_fires_46279,,,pca,,PassiveAggressiveClassifier(random_state=0),2,0.9795918367346939,,,,0.0012710094451904297,0.00011849403381347656
algerian_forest_fires_46279,,,pca,,PassiveAggressiveClassifier(random_state=0),3,0.9791666666666666,,,,0.0013477802276611328,0.0001442432403564453
algerian_forest_fires_46279,,,pca,,PassiveAggressiveClassifier(random_state=0),4,0.9583333333333334,,,,0.0013968944549560547,0.00013399124145507812
algerian_forest_fires_46279,,,fastica,,PassiveAggressiveClassifier(random_state=0),0,0.7959183673469388,,,,0.001439809799194336,0.0001220703125
algerian_forest_fires_46279,,,fastica,,PassiveAggressiveClassifier(random_state=0),1,0.9183673469387755,,,,0.0013637542724609375,0.00012159347534179688
algerian_forest_fires_46279,,,fastica,,PassiveAggressiveClassifier(random_state=0),2,0.9795918367346939,,,,0.0012860298156738281,0.00012826919555664062
algerian_forest_fires_46279,,,fastica,,PassiveAggressiveClassifier(random_state=0),3,0.9583333333333334,,,,0.001237630844116211,0.00014495849609375
algerian_forest_fires_46279,,,fastica,,PassiveAggressiveClassifier(random_state=0),4,0.9583333333333334,,,,0.0013549327850341797,0.00012731552124023438
algerian_forest_fires_46279,,,truncated_svd,,PassiveAggressiveClassifier(random_state=0),0,0.6122448979591837,,,,0.0012629032135009766,0.0001246929168701172
algerian_forest_fires_46279,,,truncated_svd,,PassiveAggressiveClassifier(random_state=0),1,0.5306122448979592,,,,0.0011532306671142578,0.00011587142944335938
algerian_forest_fires_46279,,,truncated_svd,,PassiveAggressiveClassifier(random_state=0),2,0.46938775510204084,,,,0.0013184547424316406,0.00014352798461914062
algerian_forest_fires_46279,,,truncated_svd,,PassiveAggressiveClassifier(random_state=0),3,0.6041666666666666,,,,0.0012104511260986328,0.0001163482666015625
algerian_forest_fires_46279,,,truncated_svd,,PassiveAggressiveClassifier(random_state=0),4,0.625,,,,0.0011293888092041016,0.00011491775512695312
algerian_forest_fires_46279,,,select_percentile,,PassiveAggressiveClassifier(random_state=0),0,0.8979591836734694,,,,0.0012063980102539062,0.00012969970703125
algerian_forest_fires_46279,,,select_percentile,,PassiveAggressiveClassifier(random_state=0),1,0.9795918367346939,,,,0.00138092041015625,0.000118255615234375
algerian_forest_fires_46279,,,select_percentile,,PassiveAggressiveClassifier(random_state=0),2,0.8571428571428571,,,,0.0014688968658447266,0.00011682510375976562
algerian_forest_fires_46279,,,select_percentile,,PassiveAggressiveClassifier(random_state=0),3,0.9375,,,,0.001444101333618164,0.00011658668518066406
algerian_forest_fires_46279,,,select_percentile,,PassiveAggressiveClassifier(random_state=0),4,0.9166666666666666,,,,0.001331329345703125,0.00011754035949707031
algerian_forest_fires_46279,,,generic_univariate,,PassiveAggressiveClassifier(random_state=0),0,0.5510204081632653,,,,0.0012590885162353516,0.00014591217041015625
algerian_forest_fires_46279,,,generic_univariate,,PassiveAggressiveClassifier(random_state=0),1,0.4489795918367347,,,,0.0010526180267333984,0.0001125335693359375
algerian_forest_fires_46279,,,generic_univariate,,PassiveAggressiveClassifier(random_state=0),2,0.42857142857142855,,,,0.00110626220703125,0.00011467933654785156
algerian_forest_fires_46279,,,generic_univariate,,PassiveAggressiveClassifier(random_state=0),3,0.6041666666666666,,,,0.0011153221130371094,0.00011610984802246094
algerian_forest_fires_46279,,,generic_univariate,,PassiveAggressiveClassifier(random_state=0),4,0.4583333333333333,,,,0.0011150836944580078,0.00011587142944335938
