Dataset,Imputer Strategy,Categorical Strategy,Feature Selection,Scaler,Classifier,Fold,Fold Accuracy,Error,Using_imputer,Using_cat,Training Time,Testing Time
algerian_forest_fires_46279,,,,,QuadraticDiscriminantAnalysis(),0,0.9591836734693877,,,,0.007307529449462891,0.0012416839599609375
algerian_forest_fires_46279,,,,,QuadraticDiscriminantAnalysis(),1,0.9387755102040817,,,,0.0020112991333007812,0.0010466575622558594
algerian_forest_fires_46279,,,,,QuadraticDiscriminantAnalysis(),2,0.8571428571428571,,,,0.001802682876586914,0.0009469985961914062
algerian_forest_fires_46279,,,,,QuadraticDiscriminantAnalysis(),3,0.6875,,,,0.0018711090087890625,0.0009605884552001953
algerian_forest_fires_46279,,,,,QuadraticDiscriminantAnalysis(),4,0.6041666666666666,,,,0.0018544197082519531,0.001062631607055664
algerian_forest_fires_46279,,,pca,,QuadraticDiscriminantAnalysis(),0,0.9795918367346939,,,,0.001026153564453125,0.0001742839813232422
algerian_forest_fires_46279,,,pca,,QuadraticDiscriminantAnalysis(),1,0.9795918367346939,,,,0.00103759765625,0.00017523765563964844
algerian_forest_fires_46279,,,pca,,QuadraticDiscriminantAnalysis(),2,0.9795918367346939,,,,0.0009801387786865234,0.00017070770263671875
algerian_forest_fires_46279,,,pca,,QuadraticDiscriminantAnalysis(),3,0.9375,,,,0.0010459423065185547,0.0001709461212158203
algerian_forest_fires_46279,,,pca,,QuadraticDiscriminantAnalysis(),4,0.9791666666666666,,,,0.0012807846069335938,0.00017070770263671875
algerian_forest_fires_46279,,,fastica,,QuadraticDiscriminantAnalysis(),0,0.9591836734693877,,,,0.0009276866912841797,0.00016570091247558594
algerian_forest_fires_46279,,,fastica,,QuadraticDiscriminantAnalysis(),1,0.9795918367346939,,,,0.0009520053863525391,0.00016641616821289062
algerian_forest_fires_46279,,,fastica,,QuadraticDiscriminantAnalysis(),2,0.9795918367346939,,,,0.0010256767272949219,0.00016760826110839844
algerian_forest_fires_46279,,,fastica,,QuadraticDiscriminantAnalysis(),3,0.9583333333333334,,,,0.0010530948638916016,0.00019311904907226562
algerian_forest_fires_46279,,,fastica,,QuadraticDiscriminantAnalysis(),4,0.9583333333333334,,,,0.0009486675262451172,0.00016689300537109375
algerian_forest_fires_46279,,,truncated_svd,,QuadraticDiscriminantAnalysis(),0,0.7755102040816326,,,,0.0007081031799316406,0.00017571449279785156
algerian_forest_fires_46279,,,truncated_svd,,QuadraticDiscriminantAnalysis(),1,0.7142857142857143,,,,0.0007688999176025391,0.0001544952392578125
algerian_forest_fires_46279,,,truncated_svd,,QuadraticDiscriminantAnalysis(),2,0.8367346938775511,,,,0.0007348060607910156,0.0002472400665283203
algerian_forest_fires_46279,,,truncated_svd,,QuadraticDiscriminantAnalysis(),3,0.7708333333333334,,,,0.0008232593536376953,0.00015497207641601562
algerian_forest_fires_46279,,,truncated_svd,,QuadraticDiscriminantAnalysis(),4,0.8333333333333334,,,,0.0007431507110595703,0.000152587890625
algerian_forest_fires_46279,,,select_percentile,,QuadraticDiscriminantAnalysis(),0,1.0,,,,0.0007276535034179688,0.00015163421630859375
algerian_forest_fires_46279,,,select_percentile,,QuadraticDiscriminantAnalysis(),1,0.9795918367346939,,,,0.0007519721984863281,0.0001537799835205078
algerian_forest_fires_46279,,,select_percentile,,QuadraticDiscriminantAnalysis(),2,0.9795918367346939,,,,0.0006964206695556641,0.00020456314086914062
algerian_forest_fires_46279,,,select_percentile,,QuadraticDiscriminantAnalysis(),3,1.0,,,,0.0007545948028564453,0.00015234947204589844
algerian_forest_fires_46279,,,select_percentile,,QuadraticDiscriminantAnalysis(),4,0.9583333333333334,,,,0.0007357597351074219,0.00014972686767578125
algerian_forest_fires_46279,,,generic_univariate,,QuadraticDiscriminantAnalysis(),0,0.9795918367346939,,,,0.0007152557373046875,0.00014495849609375
algerian_forest_fires_46279,,,generic_univariate,,QuadraticDiscriminantAnalysis(),1,0.9795918367346939,,,,0.0007014274597167969,0.00014829635620117188
algerian_forest_fires_46279,,,generic_univariate,,QuadraticDiscriminantAnalysis(),2,0.9795918367346939,,,,0.0007116794586181641,0.00014662742614746094
algerian_forest_fires_46279,,,generic_univariate,,QuadraticDiscriminantAnalysis(),3,0.9583333333333334,,,,0.0009086132049560547,0.0001533031463623047
