Dataset,Imputer Strategy,Categorical Strategy,Feature Selection,Scaler,Classifier,Fold,Fold Accuracy,Error,Using_imputer,Using_cat,Training Time,Testing Time
algerian_forest_fires_46279,,,,,RandomForestClassifier(random_state=0),0,0.9795918367346939,,,,0.19333314895629883,0.006674051284790039
algerian_forest_fires_46279,,,,,RandomForestClassifier(random_state=0),1,0.9795918367346939,,,,0.11896705627441406,0.0056798458099365234
algerian_forest_fires_46279,,,,,RandomForestClassifier(random_state=0),2,0.9795918367346939,,,,0.11681342124938965,0.005581855773925781
algerian_forest_fires_46279,,,,,RandomForestClassifier(random_state=0),3,0.9583333333333334,,,,0.12346363067626953,0.005643606185913086
algerian_forest_fires_46279,,,,,RandomForestClassifier(random_state=0),4,0.9583333333333334,,,,0.11449050903320312,0.0056324005126953125
algerian_forest_fires_46279,,,pca,,RandomForestClassifier(random_state=0),0,0.9387755102040817,,,,0.13429474830627441,0.005184650421142578
algerian_forest_fires_46279,,,pca,,RandomForestClassifier(random_state=0),1,0.9387755102040817,,,,0.14377641677856445,0.00526118278503418
algerian_forest_fires_46279,,,pca,,RandomForestClassifier(random_state=0),2,0.8571428571428571,,,,0.1318507194519043,0.004716396331787109
algerian_forest_fires_46279,,,pca,,RandomForestClassifier(random_state=0),3,0.9166666666666666,,,,0.12711048126220703,0.004720926284790039
algerian_forest_fires_46279,,,pca,,RandomForestClassifier(random_state=0),4,0.9166666666666666,,,,0.12800335884094238,0.004767417907714844
algerian_forest_fires_46279,,,fastica,,RandomForestClassifier(random_state=0),0,0.6530612244897959,,,,0.13334012031555176,0.0048084259033203125
algerian_forest_fires_46279,,,fastica,,RandomForestClassifier(random_state=0),1,0.7551020408163265,,,,0.1280076503753662,0.0048940181732177734
algerian_forest_fires_46279,,,fastica,,RandomForestClassifier(random_state=0),2,0.8571428571428571,,,,0.1269838809967041,0.005067348480224609
algerian_forest_fires_46279,,,fastica,,RandomForestClassifier(random_state=0),3,0.8958333333333334,,,,0.1304459571838379,0.004755496978759766
algerian_forest_fires_46279,,,fastica,,RandomForestClassifier(random_state=0),4,0.7083333333333334,,,,0.12970352172851562,0.004869699478149414
algerian_forest_fires_46279,,,truncated_svd,,RandomForestClassifier(random_state=0),0,0.8571428571428571,,,,0.11467862129211426,0.004980802536010742
algerian_forest_fires_46279,,,truncated_svd,,RandomForestClassifier(random_state=0),1,0.7959183673469388,,,,0.12834835052490234,0.005284309387207031
algerian_forest_fires_46279,,,truncated_svd,,RandomForestClassifier(random_state=0),2,0.8163265306122449,,,,0.1165461540222168,0.004786968231201172
algerian_forest_fires_46279,,,truncated_svd,,RandomForestClassifier(random_state=0),3,0.875,,,,0.12149286270141602,0.004864215850830078
algerian_forest_fires_46279,,,truncated_svd,,RandomForestClassifier(random_state=0),4,0.8958333333333334,,,,0.1188504695892334,0.004645824432373047
algerian_forest_fires_46279,,,select_percentile,,RandomForestClassifier(random_state=0),0,1.0,,,,0.11782097816467285,0.004517078399658203
algerian_forest_fires_46279,,,select_percentile,,RandomForestClassifier(random_state=0),1,0.9795918367346939,,,,0.10776758193969727,0.0045740604400634766
algerian_forest_fires_46279,,,select_percentile,,RandomForestClassifier(random_state=0),2,1.0,,,,0.10933446884155273,0.004719257354736328
algerian_forest_fires_46279,,,select_percentile,,RandomForestClassifier(random_state=0),3,0.9791666666666666,,,,0.1085512638092041,0.0045545101165771484
algerian_forest_fires_46279,,,select_percentile,,RandomForestClassifier(random_state=0),4,0.9583333333333334,,,,0.10940432548522949,0.0047643184661865234
algerian_forest_fires_46279,,,generic_univariate,,RandomForestClassifier(random_state=0),0,1.0,,,,0.10813069343566895,0.00491642951965332
algerian_forest_fires_46279,,,generic_univariate,,RandomForestClassifier(random_state=0),1,1.0,,,,0.1076822280883789,0.004472970962524414
algerian_forest_fires_46279,,,generic_univariate,,RandomForestClassifier(random_state=0),2,1.0,,,,0.10825133323669434,0.004801034927368164
algerian_forest_fires_46279,,,generic_univariate,,RandomForestClassifier(random_state=0),3,0.9583333333333334,,,,0.10725784301757812,0.004521608352661133
algerian_forest_fires_46279,,,generic_univariate,,RandomForestClassifier(random_state=0),4,0.9791666666666666,,,,0.1143951416015625,0.004595518112182617
algerian_forest_fires_46279,,,polynomial_features,,RandomForestClassifier(random_state=0),0,0.9795918367346939,,,,0.12394452095031738,0.0045757293701171875
algerian_forest_fires_46279,,,polynomial_features,,RandomForestClassifier(random_state=0),1,0.9795918367346939,,,,0.12689590454101562,0.004613637924194336
algerian_forest_fires_46279,,,polynomial_features,,RandomForestClassifier(random_state=0),2,1.0,,,,0.12547993659973145,0.004620075225830078
