Dataset,Imputer Strategy,Categorical Strategy,Feature Selection,Scaler,Classifier,Fold,Fold Accuracy,Error,Using_imputer,Using_cat,Training Time,Testing Time
algerian_forest_fires_46279,,,,,SVC(random_state=0),0,0.5510204081632653,,,,1.6873514652252197,0.0014865398406982422
algerian_forest_fires_46279,,,,,SVC(random_state=0),1,0.5510204081632653,,,,0.003075122833251953,0.0012309551239013672
algerian_forest_fires_46279,,,,,SVC(random_state=0),2,0.5714285714285714,,,,0.0029218196868896484,0.0012254714965820312
algerian_forest_fires_46279,,,,,SVC(random_state=0),3,0.6041666666666666,,,,0.0029129981994628906,0.0012857913970947266
algerian_forest_fires_46279,,,,,SVC(random_state=0),4,0.5416666666666666,,,,0.002842426300048828,0.0012345314025878906
algerian_forest_fires_46279,,,pca,,SVC(random_state=0),0,0.9387755102040817,,,,0.001529693603515625,0.0002951622009277344
algerian_forest_fires_46279,,,pca,,SVC(random_state=0),1,0.8979591836734694,,,,0.0016155242919921875,0.0002760887145996094
algerian_forest_fires_46279,,,pca,,SVC(random_state=0),2,0.9183673469387755,,,,0.0014920234680175781,0.0002732276916503906
algerian_forest_fires_46279,,,pca,,SVC(random_state=0),3,0.9583333333333334,,,,0.0015439987182617188,0.0002963542938232422
algerian_forest_fires_46279,,,pca,,SVC(random_state=0),4,0.9375,,,,0.0015740394592285156,0.0002765655517578125
algerian_forest_fires_46279,,,fastica,,SVC(random_state=0),0,0.673469387755102,,,,0.0021789073944091797,0.00040435791015625
algerian_forest_fires_46279,,,fastica,,SVC(random_state=0),1,0.7142857142857143,,,,0.002021312713623047,0.0004627704620361328
algerian_forest_fires_46279,,,fastica,,SVC(random_state=0),2,0.8979591836734694,,,,0.0017993450164794922,0.0003235340118408203
algerian_forest_fires_46279,,,fastica,,SVC(random_state=0),3,0.8958333333333334,,,,0.0018277168273925781,0.0003337860107421875
algerian_forest_fires_46279,,,fastica,,SVC(random_state=0),4,0.4791666666666667,,,,0.0022194385528564453,0.00046133995056152344
algerian_forest_fires_46279,,,truncated_svd,,SVC(random_state=0),0,0.5510204081632653,,,,0.00176239013671875,0.0004296302795410156
algerian_forest_fires_46279,,,truncated_svd,,SVC(random_state=0),1,0.5510204081632653,,,,0.0020971298217773438,0.0004062652587890625
algerian_forest_fires_46279,,,truncated_svd,,SVC(random_state=0),2,0.5714285714285714,,,,0.0021331310272216797,0.0004363059997558594
algerian_forest_fires_46279,,,truncated_svd,,SVC(random_state=0),3,0.6041666666666666,,,,0.002057790756225586,0.0004324913024902344
algerian_forest_fires_46279,,,truncated_svd,,SVC(random_state=0),4,0.5416666666666666,,,,0.002005338668823242,0.00039958953857421875
algerian_forest_fires_46279,,,select_percentile,,SVC(random_state=0),0,0.9387755102040817,,,,0.0014607906341552734,0.0002472400665283203
algerian_forest_fires_46279,,,select_percentile,,SVC(random_state=0),1,0.9183673469387755,,,,0.0012979507446289062,0.0005295276641845703
algerian_forest_fires_46279,,,select_percentile,,SVC(random_state=0),2,0.9591836734693877,,,,0.0013163089752197266,0.0002529621124267578
algerian_forest_fires_46279,,,select_percentile,,SVC(random_state=0),3,0.9375,,,,0.0013103485107421875,0.00034809112548828125
algerian_forest_fires_46279,,,select_percentile,,SVC(random_state=0),4,1.0,,,,0.0013399124145507812,0.00025200843811035156
algerian_forest_fires_46279,,,generic_univariate,,SVC(random_state=0),0,0.9591836734693877,,,,0.0012180805206298828,0.0002422332763671875
algerian_forest_fires_46279,,,generic_univariate,,SVC(random_state=0),1,0.9795918367346939,,,,0.0013663768768310547,0.00020241737365722656
algerian_forest_fires_46279,,,generic_univariate,,SVC(random_state=0),2,0.9591836734693877,,,,0.0012128353118896484,0.00019502639770507812
algerian_forest_fires_46279,,,generic_univariate,,SVC(random_state=0),3,0.9583333333333334,,,,0.0011751651763916016,0.00019311904907226562
algerian_forest_fires_46279,,,generic_univariate,,SVC(random_state=0),4,0.9583333333333334,,,,0.0012040138244628906,0.00019073486328125
algerian_forest_fires_46279,,,polynomial_features,,SVC(random_state=0),0,0.5510204081632653,,,,0.0029451847076416016,0.0008108615875244141
algerian_forest_fires_46279,,,polynomial_features,,SVC(random_state=0),1,0.5510204081632653,,,,0.002760171890258789,0.0008554458618164062
algerian_forest_fires_46279,,,polynomial_features,,SVC(random_state=0),2,0.5714285714285714,,,,0.003016948699951172,0.0008368492126464844
algerian_forest_fires_46279,,,polynomial_features,,SVC(random_state=0),3,0.6041666666666666,,,,0.002816438674926758,0.0008170604705810547
