Description,Belts,Personal.Injury,Property.Damage,Commercial.License,Commercial.Vehicle,State,VehicleType,Year,Make,Model,Color,Charge,Contributed.To.Accident,Race,Gender,Driver.City,Driver.State,DL.State,Arrest.Type,Violation.Type
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,No,No,No,No,No,NC,02 - Automobile,2013.0,HYUNDAI,SONATA,GRAY,13411f,No,WHITE,F,ASHEVILLE,NC,NC,A - Marked Patrol,Citation
DRIVER FAIL TO STOP AT RED TRAFFIC SIGNAL BEFORE RIGHT TURN,No,No,No,No,No,MD,02 - Automobile,2015.0,FORD,FUSION,SILVER,21202i1,No,OTHER,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,No,No,No,No,No,MD,02 - Automobile,2000.0,TOYOTA,CAMRY,BLACK,21902a2,No,BLACK,M,SILVER SPRING,MD,MD,B - Unmarked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,No,No,No,No,No,MD,02 - Automobile,2012.0,HOND,CROSSTOUR,BLACK,16303c,No,BLACK,M,COLUMBIA,MD,MD,A - Marked Patrol,Citation
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,No,No,No,Yes,No,MD,02 - Automobile,2010.0,FORD,F250,BLACK,13411f,No,WHITE,M,MOUNT AIRY,MD,MD,A - Marked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106,No,No,No,No,No,MD,02 - Automobile,2007.0,TOYOTA,4 DOOR,BLUE,16303h,No,BLACK,M,FORT WASHINGTON,MD,MD,S - License Plate Recognition,Citation
EXCEEDING MAXIMUM SPEED 53 MPH IN A POSTED 35 MPH ZONE,No,No,No,No,No,MD,05 - Light Duty Truck,2012.0,TOYOTA,TK,GREEN,218011,No,BLACK,F,SILVER SPRING,MD,MD,Q - Marked Laser,Citation
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,1998.0,HOND,4S,GREEN,13409b,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,No,No,No,No,No,MD,02 - Automobile,2011.0,MAZDA,3,BLUE,21204d,No,HISPANIC,M,CLARKSBURG,MD,MD,A - Marked Patrol,Citation
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,No,No,No,No,No,MD,02 - Automobile,2007.0,HONDA,4D,SILVER,219011b,No,HISPANIC,M,KENSINGTON,MD,MD,A - Marked Patrol,Citation
PARKING WHERE PROHIBITED BY OFFICIAL SIGNS,No,No,No,No,No,MD,28 - Other,2004.0,CHRYSLER,PACIFICA,RED,211003aa,No,BLACK,F,ANNAPOLIS,MD,MD,A - Marked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103,No,No,No,No,No,MD,02 - Automobile,2007.0,CHRY,300,BLACK,16303h,No,BLACK,M,POTOMAC,MD,MD,A - Marked Patrol,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2004.0,VOLK,4S,BLACK,21201a1,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,No,No,No,Yes,No,MD,02 - Automobile,2016.0,FORD,FOCUS,WHITE,219011b,No,OTHER,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
OPERATOR NOT RESTRAINED BY SEATBELT,No,No,No,No,No,MD,02 - Automobile,1994.0,GEO,PRIZM,GREEN,224123b,No,WHITE,M,SILVER SPRING,MD,MD,L - Motorcycle,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,No,No,No,No,No,MD,02 - Automobile,2006.0,HYUNDAI,SONATA,BLACK,16303c,No,BLACK,M,MITCHELLVILLE,MD,MD,A - Marked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103,Yes,No,No,No,No,MD,02 - Automobile,1999.0,TOYOTA,COROLLA,WHITE,16303h,No,HISPANIC,M,BOWIE,MD,MD,A - Marked Patrol,Citation
EXCEEDING POSTED MAXIMUM SPEED LIMIT 59 MPH IN A POSTED 50 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2012.0,KIA,SEDONA,WHITE,218011,No,WHITE,M,MIDDLETOWN,MD,MD,Q - Marked Laser,Citation
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY SPEED,No,No,No,No,No,MD,02 - Automobile,2006.0,CHEV,4S,GRAY,21801a,No,OTHER,M,ROCKVILLE,MD,MD,O - Foot Patrol,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,02 - Automobile,2011.0,INFINITI,TK,BLACK,16112c,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2007.0,LEXUS,E 300,BLACK,13409b,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,02 - Automobile,2013.0,FORD,FUSION,BLACK,16101a,No,BLACK,M,ROCKVILLE,MD,MD,S - License Plate Recognition,Citation
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,No,No,No,No,No,MD,02 - Automobile,2002.0,ACURA,4S,SILVER,21902a1,No,OTHER,M,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,02 - Automobile,2003.0,LEXUS,RX300,WHITE,16101a,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,02 - Automobile,2001.0,HONDA,ACCORD,GOLD,16112c,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2006.0,VOLK,4S,SILVER,21201a1,No,BLACK,M,GAITHERSBURG,MD,MD,L - Motorcycle,Citation
EXCEEDING MAXIMUM SPEED 44 MPH IN A POSTED 35 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,1999.0,FORD,2S,WHITE,218011,No,WHITE,M,GAITHERSBURG,MD,MD,Q - Marked Laser,Citation
DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,No,No,No,No,No,IL,02 - Automobile,2001.0,DODGE,NEON,BLUE,21204d,No,BLACK,M,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,Citation
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,02 - Automobile,1996.0,NISS,4S,BLUE,16101a,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
