V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,class
0.00552083,0.0805556,0.110417,0.490822,0.586406,0.066414,0.0922061,0.116352,0.37931,216.26,132.695,99.3679,33.5786,68.1438,56.2128,-0.910138,-0.434632,-0.342986,78.6894,17.2378,21.5042,14.4373,17.378,9.61674,-0.60937,1.04483,1.48179,41
0.0493981,0.147917,0.541667,0.542865,0.515608,0.105128,0.47555,0.0495548,0.38346,90.266,72.9821,68.998,43.5983,41.48,38.1724,1.85903,2.24173,2.63937,59.7879,5.39341,3.81961,11.4924,3.92947,5.91423,1.40921,4.74954,1.10382,92
0.548663,1,1,0.397029,0.627398,1.02344,1.00422,0.0273814,0.451337,63.1644,72.6619,70.9406,23.3974,27.5237,28.4167,0.259846,0.0237949,0.137427,58.1429,-3.36598,-0.0374885,10.6347,2.66018,3.93377,-0.89822,2.13779,1.05447,24
0.0230729,0.20625,0.238889,0.622998,0.764067,0.202599,0.177892,0.0712315,0.531712,57.307,67.3183,78.6915,30.8865,37.2736,50.3257,1.44695,0.581927,0.477009,55.4798,-1.05109,-4.75536,13.3671,2.85206,9.65162,0.224397,-0.220216,-0.273287,29
0.224427,0.433333,0.902083,0.814199,0.576879,0.344413,0.822975,0.026121,0.425875,113.567,148.435,59.1659,33.4644,36.6024,23.6344,-0.570356,-1.16686,0.521306,76.8475,-19.3717,32.2707,9.41442,4.34345,8.6771,-1.58758,1.11787,-0.545338,91
0.0478472,0.45,0.180556,0.838862,0.0670433,0.389239,0.157665,0.0599903,0.411111,254.947,254.96,254.944,0.362797,0.326387,0.375622,-13.827,-17.547,-13.0652,99.9933,-0.00299811,0.00261531,0.049497,0.0432755,0.0376184,-17.8408,-5.00779,9.5339,79
0.206869,0.975,0.341667,0.447275,0.336777,0.949388,0.267292,0.0308278,0.379004,53.1134,55.7728,65.0073,35.0932,34.4955,33.7764,3.63869,3.58392,3.53393,52.3267,1.01492,-5.94821,9.93274,1.55206,3.62351,2.86006,-0.607473,1.46132,87
0.0224306,0.179167,0.247222,0.801685,0.21704,0.15203,0.191829,0.0848813,0.493598,249.629,248.247,251.047,9.51186,9.2959,8.53759,-3.53966,-3.60137,-3.86699,99.0242,0.423255,-0.52771,1.49634,0.389735,0.488599,-3.75684,-0.398232,-0.826452,96
0.0102951,0.0895833,0.152778,0.844585,0.072433,0.0731735,0.147794,0.0921866,0.24778,179.797,194.221,212.925,41.5174,33.8781,36.2108,0.0402018,-0.387819,-1.64645,89.2081,-0.90492,-5.43511,6.66823,1.65619,5.84766,-0.690025,-0.726379,0.670904,77
0.093125,0.170833,0.844444,0.877034,0.459541,0.142288,0.704154,0.0520134,0.354461,58.8911,53.9033,51.2117,47.6862,37.4234,32.9908,1.32054,0.985933,1.07744,49.8481,1.02321,1.25355,15.604,5.14396,7.79905,0.432881,0.373056,0.840725,55
