PurchDate,Auction,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,PRIMEUNIT,AUCGUART,BYRNO,VNZIP1,VNST,VehBCost,IsOnlineSale,WarrantyCost,IsBadBuy
1260144000,ADESA,2006,3,MAZDA,MAZDA3,i,4D SEDAN I,RED,AUTO,1,Alloy,89046,OTHER ASIAN,MEDIUM,OTHER,8155,9829,11636,13600,7451,8552,11597,12409,,,21973,33619,FL,7100,0,1113,0
1260144000,ADESA,2004,5,DODGE,1500 RAM PICKUP 2WD,ST,QUAD CAB 4.7L SLT,WHITE,AUTO,1,Alloy,93593,AMERICAN,LARGE TRUCK,CHRYSLER,6854,8383,10897,12572,7456,9222,11374,12791,,,19638,33619,FL,7600,0,1053,0
1260144000,ADESA,2005,4,DODGE,STRATUS V6,SXT,4D SEDAN SXT FFV,MAROON,AUTO,2,Covers,73807,AMERICAN,MEDIUM,CHRYSLER,3202,4760,6943,8457,4035,5557,7146,8702,,,19638,33619,FL,4900,0,1389,0
1260144000,ADESA,2004,5,DODGE,NEON,SXT,4D SEDAN,SILVER,AUTO,1,Alloy,65617,AMERICAN,COMPACT,CHRYSLER,1893,2675,4658,5690,1844,2646,4375,5518,,,19638,33619,FL,4100,0,630,0
1260144000,ADESA,2005,4,FORD,FOCUS,ZX3,2D COUPE ZX3,SILVER,MANUAL,2,Covers,69367,AMERICAN,COMPACT,FORD,3913,5054,7723,8707,3247,4384,6739,7911,,,19638,33619,FL,4000,0,1020,0
1260144000,ADESA,2004,5,MITSUBISHI,GALANT 4C,ES,4D SEDAN ES,WHITE,AUTO,2,Covers,81054,OTHER ASIAN,MEDIUM,OTHER,3901,4908,6706,8577,4709,5827,8149,9451,,,19638,33619,FL,5600,0,594,0
1260144000,ADESA,2004,5,KIA,SPECTRA,EX,4D SEDAN EX,BLACK,AUTO,2,Covers,65328,OTHER ASIAN,MEDIUM,OTHER,2966,4038,6240,8496,2980,4115,6230,8603,,,19638,33619,FL,4200,0,533,0
1260144000,ADESA,2005,4,FORD,TAURUS,SE,4D SEDAN SE,WHITE,AUTO,2,Covers,65805,AMERICAN,MEDIUM,FORD,3313,4342,6667,7707,3713,4578,6942,8242,,,19638,33619,FL,4500,0,825,0
1260144000,ADESA,2007,2,KIA,SPECTRA,EX,4D SEDAN EX,BLACK,AUTO,2,Covers,49921,OTHER ASIAN,MEDIUM,OTHER,6196,7274,9687,10624,6417,7371,9637,10778,,,21973,33619,FL,5600,0,482,0
1260144000,ADESA,2007,2,FORD,FIVE HUNDRED,SEL,4D SEDAN SEL,RED,AUTO,1,Alloy,84872,AMERICAN,LARGE,FORD,7845,9752,11734,13656,9167,10988,12580,14845,,,21973,33619,FL,7700,0,1633,0
1260748800,ADESA,2005,4,GMC,1500 SIERRA PICKUP 2,SLE,REG CAB 4.3L,SILVER,AUTO,1,Alloy,80080,AMERICAN,LARGE TRUCK,GM,5243,6627,8848,10458,5712,7552,9494,11663,,,5546,33619,FL,5500,0,1373,0
1260748800,ADESA,2001,8,FORD,F150 PICKUP 2WD V6,XL,REG CAB 4.2L XL,WHITE,MANUAL,1,Alloy,75419,AMERICAN,LARGE TRUCK,FORD,3168,4320,5826,6762,2871,3822,5734,6559,,,5546,33619,FL,5300,0,869,0
1260748800,ADESA,2005,4,DODGE,CARAVAN GRAND FWD V6,SE,MINIVAN 3.3L,RED,AUTO,1,Alloy,79315,AMERICAN,VAN,CHRYSLER,4225,5380,7910,10108,4807,6077,8523,10124,,,19638,33619,FL,5400,0,1623,1
1260748800,ADESA,2005,4,NISSAN,ALTIMA,Bas,4D SEDAN,WHITE,AUTO,2,Covers,71254,TOP LINE ASIAN,MEDIUM,OTHER,5684,6921,8976,10789,5976,7190,9374,10780,,,19638,33619,FL,7800,0,686,0
1260748800,ADESA,2006,3,DODGE,CARAVAN GRAND FWD V6,SXT,MINIVAN 3.8L,GOLD,AUTO,1,Alloy,74722,AMERICAN,VAN,CHRYSLER,6999,9730,10743,14066,7952,9910,12131,13836,,,19638,33619,FL,6900,0,1623,0
1260748800,ADESA,2003,6,CHEVROLET,CAVALIER 4C,Bas,2D COUPE,WHITE,MANUAL,2,Covers,72132,AMERICAN,COMPACT,GM,2228,3217,5256,7589,2128,2690,4855,5506,,,5546,33619,FL,3300,0,1455,0
1260748800,ADESA,2005,4,CHEVROLET,TRAILBLAZER 2WD 6C,LS,4D SUV 4.2L,WHITE,AUTO,1,Alloy,80736,AMERICAN,MEDIUM SUV,GM,6742,7951,11068,12885,7670,9159,12596,15041,,,19638,33619,FL,6800,0,1243,0
1260748800,ADESA,2003,6,SATURN,VUE 2WD 4C,,4D CUV 2.2L,RED,AUTO,2,Covers,75156,AMERICAN,MEDIUM SUV,GM,2756,3475,5835,6925,3513,4572,7195,9364,,,5546,33619,FL,4900,0,1923,0
1260748800,ADESA,2005,4,CHEVROLET,IMPALA,Bas,4D SEDAN,GREY,AUTO,2,Covers,65925,AMERICAN,LARGE,GM,3983,5244,7316,9194,4107,5191,7638,8800,,,19638,33619,FL,5700,0,1703,0
1260748800,ADESA,2004,5,GMC,ENVOY XL 2WD 6C,SLE,4D UTILITY 4.2L SLE,BLACK,AUTO,1,Alloy,84498,AMERICAN,MEDIUM SUV,GM,7347,8845,11092,13052,7436,8766,11367,12609,,,19638,33619,FL,7100,0,1243,0
1260748800,ADESA,2002,7,CHRYSLER,VOYAGER FWD V6,Bas,MINIVAN 3.3L,BLUE,AUTO,2,Covers,54586,AMERICAN,VAN,CHRYSLER,2139,3106,5072,6424,3307,4388,6228,7413,,,19638,33619,FL,4800,0,1551,0
1260748800,ADESA,2002,7,CHEVROLET,MONTE CARLO,SS,2D COUPE SS,WHITE,AUTO,1,Alloy,66536,AMERICAN,LARGE,GM,3522,4791,7689,10460,4403,5629,7512,8975,,,5546,33619,FL,5800,0,2003,0
1261353600,ADESA,2004,5,CHEVROLET,VENTURE FWD V6,LS,PASSENGER 3.4L,SILVER,AUTO,2,Covers,98130,AMERICAN,VAN,GM,2290,3818,5646,7427,2446,3542,5999,8687,,,5546,33619,FL,4100,0,5613,0
1261353600,ADESA,2006,3,CHEVROLET,HHR,LS,4D SUV 2.2L LS,GREY,AUTO,2,Covers,59789,AMERICAN,MEDIUM,GM,5693,6842,9586,11299,6062,7214,9721,11606,,,5546,33619,FL,7700,0,671,0
1261353600,ADESA,2007,2,CHEVROLET,HHR,LS,4D SUV 2.2L LS,GREY,AUTO,2,Covers,65663,AMERICAN,MEDIUM,GM,5830,6923,9644,10838,7038,7945,11189,11803,,,5546,33619,FL,7000,0,728,0
1261353600,ADESA,2004,5,MERCURY,SABLE,LS,4D SEDAN LS PREMIUM,WHITE,AUTO,1,Alloy,52106,AMERICAN,MEDIUM,FORD,2619,3561,6502,7274,3160,4376,6600,8074,,,5546,33619,FL,4500,0,754,1
1261353600,ADESA,2002,7,GMC,ENVOY XL 4WD 6C,SLE,4D UTILITY 4.2L SLE,GOLD,AUTO,1,Alloy,88958,AMERICAN,MEDIUM SUV,GM,5367,6517,9005,10050,5510,6838,8522,10252,,,5546,33619,FL,8000,0,2452,0
1261353600,ADESA,2004,5,DODGE,1500 RAM PICKUP 2WD,ST,QUAD CAB 4.7L SLT,WHITE,AUTO,1,Alloy,76173,AMERICAN,LARGE TRUCK,CHRYSLER,6407,8051,10378,12443,7159,8934,11135,12560,,,19638,33619,FL,8800,0,920,0
1261958400,ADESA,2004,5,DODGE,DURANGO 4WD V8,SLT,4D SUV 5.7L SLT,RED,AUTO,1,Alloy,65393,AMERICAN,MEDIUM SUV,CHRYSLER,7243,8582,11805,13250,7863,10109,12295,15807,,,19638,33619,FL,8400,0,1411,0
1261958400,ADESA,2005,4,DODGE,CARAVAN GRAND FWD V6,SXT,MINIVAN 3.8L SXT,GREY,AUTO,1,Alloy,80064,AMERICAN,VAN,CHRYSLER,5439,7255,9587,11288,6175,7792,9768,11489,,,19638,33619,FL,5600,0,1763,0
