age,height,body_type,drinks,drugs,education,ethnicity,location,orientation,sex,sign,smokes,status,class,
24,68,average,socially,never,graduated from college/university,white,"moraga, california",straight,m,scorpio but it doesn&rsquo,t matter,no,single,non_stem
24,67,athletic,socially,never,working on college/university,hispanic / latin,"martinez, california",gay,f,gemini and it&rsquo,s fun to think about,no,single,non_stem
62,71,fit,socially,sometimes,graduated from law school,white,"san rafael, california",straight,m,taurus and it&rsquo,s fun to think about,no,single,non_stem
30,63,fit,socially,never,graduated from masters program,white,"san francisco, california",straight,f,gemini and it&rsquo,s fun to think about,no,single,non_stem
22,66,athletic,socially,sometimes,dropped out of space camp,white,"san francisco, california",straight,f,aquarius,yes,single,non_stem,
28,64,average,socially,never,graduated from med school,"asian, pacific islander","san francisco, california",straight,f,aries but it doesn&rsquo,t matter,no,single,non_stem
28,67,a little extra,socially,never,graduated from college/university,other,"millbrae, california",straight,m,cancer and it&rsquo,s fun to think about,sometimes,single,non_stem
33,63,fit,often,sometimes,dropped out of college/university,white,"san francisco, california",bisexual,f,aries but it doesn&rsquo,t matter,no,available,non_stem
42,70,athletic,rarely,never,graduated from college/university,white,"tiburon, california",straight,m,scorpio and it&rsquo,s fun to think about,no,seeing someone,non_stem
34,64,thin,socially,never,graduated from college/university,white,"san francisco, california",straight,f,sagittarius but it doesn&rsquo,t matter,no,single,non_stem
24,70,fit,socially,never,graduated from college/university,white,"san francisco, california",straight,m,virgo and it&rsquo,s fun to think about,no,single,non_stem
25,66,a little extra,desperately,never,working on college/university,"black, white, other","oakland, california",straight,f,sagittarius and it&rsquo,s fun to think about,no,single,non_stem
27,63,thin,socially,never,graduated from college/university,white,"san francisco, california",straight,f,leo but it doesn&rsquo,t matter,no,single,non_stem
33,70,athletic,socially,never,graduated from college/university,"native american, hispanic / latin","oakland, california",straight,m,scorpio but it doesn&rsquo,t matter,sometimes,single,non_stem
38,74,average,socially,sometimes,graduated from college/university,white,"atherton, california",straight,m,aries and it&rsquo,s fun to think about,when drinking,single,non_stem
32,70,athletic,not at all,never,graduated from masters program,indian,"san francisco, california",straight,m,scorpio,no,single,non_stem,
26,69,fit,socially,never,working on college/university,"hispanic / latin, white","san francisco, california",straight,m,scorpio and it&rsquo,s fun to think about,sometimes,single,non_stem
33,70,thin,socially,never,graduated from college/university,white,"san francisco, california",straight,m,leo,no,single,non_stem,
27,71,athletic,socially,never,graduated from college/university,white,"san francisco, california",straight,m,aries,no,single,non_stem,
34,68,athletic,often,sometimes,graduated from ph.d program,white,"palo alto, california",straight,f,scorpio and it&rsquo,s fun to think about,no,single,non_stem
32,71,fit,socially,never,graduated from college/university,"asian, middle eastern, black, native american, indian, pacific islander, hispanic / latin, white, other","san rafael, california",straight,m,aquarius,no,single,non_stem,
52,67,average,rarely,never,graduated from masters program,white,"larkspur, california",straight,f,aries but it doesn&rsquo,t matter,no,single,non_stem
32,73,athletic,socially,never,graduated from college/university,white,"san francisco, california",straight,m,virgo but it doesn&rsquo,t matter,trying to quit,single,non_stem
32,68,curvy,socially,never,graduated from college/university,white,"san francisco, california",straight,f,virgo and it&rsquo,s fun to think about,no,single,non_stem
23,71,thin,socially,never,graduated from high school,"asian, white","oakland, california",straight,m,leo but it doesn&rsquo,t matter,yes,single,non_stem
35,67,curvy,often,sometimes,graduated from masters program,white,"oakland, california",straight,f,cancer and it&rsquo,s fun to think about,yes,available,non_stem
42,69,skinny,often,never,graduated from college/university,white,"san francisco, california",gay,m,gemini and it&rsquo,s fun to think about,no,single,non_stem
27,65,curvy,rarely,never,working on two-year college,white,"pleasant hill, california",straight,f,scorpio and it&rsquo,s fun to think about,no,single,non_stem
31,71,athletic,socially,never,graduated from masters program,white,"san francisco, california",straight,f,scorpio,no,single,non_stem,
24,70,a little extra,often,never,graduated from college/university,white,"san francisco, california",straight,m,aries but it doesn&rsquo,t matter,no,single,non_stem
43,65,athletic,socially,never,graduated from college/university,white,"san francisco, california",straight,f,taurus but it doesn&rsquo,t matter,no,single,non_stem
21,59,athletic,socially,never,graduated from college/university,asian,"berkeley, california",straight,f,libra but it doesn&rsquo,t matter,no,single,non_stem
33,66,average,socially,never,graduated from two-year college,white,"oakland, california",gay,f,cancer and it&rsquo,s fun to think about,no,available,non_stem
29,62,full figured,socially,never,graduated from college/university,white,"burlingame, california",straight,f,virgo and it&rsquo,s fun to think about,no,single,non_stem
40,66,athletic,rarely,never,graduated from law school,asian,"san francisco, california",straight,m,pisces but it doesn&rsquo,t matter,no,single,non_stem
20,68,average,rarely,never,working on college/university,white,"benicia, california",straight,f,libra,no,single,non_stem,
30,72,athletic,socially,never,graduated from law school,white,"san francisco, california",gay,m,pisces but it doesn&rsquo,t matter,no,single,non_stem
32,63,athletic,socially,never,graduated from law school,other,"oakland, california",straight,f,leo and it&rsquo,s fun to think about,no,single,non_stem
38,67,athletic,socially,sometimes,working on masters program,white,"oakland, california",bisexual,f,gemini and it&rsquo,s fun to think about,no,seeing someone,non_stem
58,61,fit,socially,never,graduated from law school,white,"mill valley, california",straight,f,taurus but it doesn&rsquo,t matter,no,single,non_stem
47,66,thin,socially,never,graduated from college/university,white,"larkspur, california",straight,f,aries and it&rsquo,s fun to think about,no,single,non_stem
28,66,thin,socially,never,graduated from college/university,white,"san francisco, california",straight,f,libra and it&rsquo,s fun to think about,no,single,non_stem
46,74,athletic,socially,never,graduated from college/university,white,"san anselmo, california",straight,m,gemini and it&rsquo,s fun to think about,no,single,non_stem
34,64,thin,rarely,often,graduated from college/university,white,"san francisco, california",gay,f,taurus,no,available,non_stem,
36,62,average,socially,never,graduated from college/university,asian,"el cerrito, california",straight,f,gemini but it doesn&rsquo,t matter,no,single,non_stem
30,67,fit,often,sometimes,graduated from college/university,white,"san francisco, california",straight,m,aries,no,single,non_stem,
38,63,average,socially,never,graduated from college/university,black,"oakland, california",straight,f,leo and it matters a lot,no,single,non_stem,
47,73,fit,often,never,graduated from college/university,white,"san francisco, california",straight,m,libra but it doesn&rsquo,t matter,no,single,non_stem
43,64,average,rarely,never,graduated from college/university,asian,"san francisco, california",straight,f,sagittarius but it doesn&rsquo,t matter,no,single,non_stem
33,66,average,socially,never,graduated from college/university,white,"san francisco, california",straight,f,aquarius and it&rsquo,s fun to think about,no,single,non_stem
29,68,average,socially,never,graduated from law school,white,"san francisco, california",straight,f,leo but it doesn&rsquo,t matter,no,single,non_stem
27,70,average,socially,sometimes,graduated from college/university,white,"oakland, california",straight,m,libra but it doesn&rsquo,t matter,no,single,non_stem
28,73,athletic,socially,never,graduated from college/university,white,"emeryville, california",gay,f,gemini,no,single,non_stem,
29,68,used up,rarely,never,college/university,middle eastern,"millbrae, california",straight,m,aries but it doesn&rsquo,t matter,no,single,non_stem
27,73,a little extra,socially,sometimes,graduated from high school,"asian, white","south san francisco, california",straight,m,gemini but it doesn&rsquo,t matter,yes,single,non_stem
28,67,curvy,socially,never,graduated from college/university,white,"martinez, california",straight,f,aries and it&rsquo,s fun to think about,no,single,non_stem
52,75,a little extra,rarely,never,working on two-year college,white,"richmond, california",straight,m,scorpio but it doesn&rsquo,t matter,no,single,non_stem
37,67,athletic,socially,never,graduated from masters program,white,"san francisco, california",straight,f,aquarius and it&rsquo,s fun to think about,no,single,non_stem
27,80,athletic,rarely,never,graduated from college/university,black,"hayward, california",straight,m,taurus but it doesn&rsquo,t matter,no,single,non_stem
36,69,curvy,socially,sometimes,working on masters program,white,"san francisco, california",straight,f,taurus and it&rsquo,s fun to think about,when drinking,single,non_stem
22,74,thin,socially,never,dropped out of college/university,white,"benicia, california",straight,m,gemini and it&rsquo,s fun to think about,no,single,non_stem
35,70,thin,socially,never,graduated from college/university,white,"san francisco, california",straight,f,gemini and it&rsquo,s fun to think about,no,single,non_stem
33,71,fit,socially,never,graduated from masters program,asian,"san francisco, california",straight,m,pisces and it&rsquo,s fun to think about,no,single,non_stem
25,66,a little extra,socially,never,graduated from college/university,black,"oakland, california",straight,f,sagittarius and it&rsquo,s fun to think about,sometimes,single,non_stem
26,64,average,very often,sometimes,working on masters program,white,"oakland, california",straight,f,libra and it&rsquo,s fun to think about,sometimes,single,non_stem
49,66,fit,socially,never,graduated from ph.d program,white,"redwood city, california",straight,f,cancer but it doesn&rsquo,t matter,no,single,non_stem
31,70,fit,rarely,never,graduated from college/university,white,"berkeley, california",straight,m,aquarius but it doesn&rsquo,t matter,no,single,non_stem
24,67,average,often,never,working on college/university,hispanic / latin,"san francisco, california",straight,m,aquarius and it&rsquo,s fun to think about,no,single,non_stem
65,67,curvy,rarely,never,graduated from masters program,white,"san rafael, california",straight,f,taurus,no,single,non_stem,
30,76,athletic,rarely,never,graduated from two-year college,"hispanic / latin, white","half moon bay, california",straight,m,virgo,no,single,non_stem,
45,68,average,often,sometimes,graduated from two-year college,white,"san francisco, california",straight,m,cancer but it doesn&rsquo,t matter,trying to quit,available,non_stem
38,62,average,socially,never,graduated from masters program,white,"alameda, california",straight,f,virgo,no,single,non_stem,
27,69,average,socially,never,graduated from college/university,asian,"daly city, california",straight,m,gemini but it doesn&rsquo,t matter,no,single,non_stem
25,65,curvy,socially,sometimes,dropped out of space camp,white,"vallejo, california",bisexual,f,cancer,when drinking,single,non_stem,
29,68,athletic,socially,never,graduated from masters program,white,"san francisco, california",straight,m,aquarius but it doesn&rsquo,t matter,when drinking,single,non_stem
40,69,average,socially,never,working on college/university,white,"hayward, california",straight,m,aquarius,no,single,non_stem,
34,66,athletic,rarely,never,graduated from college/university,asian,"oakland, california",straight,f,libra and it matters a lot,no,single,non_stem,
21,71,skinny,rarely,never,working on two-year college,white,"vallejo, california",bisexual,m,gemini but it doesn&rsquo,t matter,no,seeing someone,non_stem
27,66,athletic,socially,never,graduated from college/university,asian,"san francisco, california",straight,m,capricorn but it doesn&rsquo,t matter,no,single,non_stem
33,60,curvy,socially,sometimes,working on college/university,"hispanic / latin, white","san rafael, california",straight,f,libra and it&rsquo,s fun to think about,no,single,non_stem
21,73,athletic,socially,sometimes,graduated from high school,other,"hayward, california",straight,m,aquarius and it&rsquo,s fun to think about,yes,single,non_stem
30,73,athletic,socially,never,graduated from masters program,white,"san francisco, california",straight,m,virgo,no,single,non_stem,
35,65,athletic,socially,never,graduated from masters program,white,"san francisco, california",straight,f,capricorn and it&rsquo,s fun to think about,no,single,non_stem
38,71,thin,rarely,never,graduated from college/university,white,"mountain view, california",straight,m,virgo but it doesn&rsquo,t matter,no,single,non_stem
40,76,athletic,often,never,graduated from masters program,white,"san francisco, california",straight,m,aquarius and it&rsquo,s fun to think about,no,single,non_stem
41,62,fit,socially,never,working on ph.d program,white,"palo alto, california",straight,f,virgo,no,single,non_stem,
28,70,average,socially,sometimes,graduated from college/university,"white, other","oakland, california",straight,m,capricorn but it doesn&rsquo,t matter,no,seeing someone,non_stem
25,68,average,socially,sometimes,graduated from college/university,white,"san francisco, california",straight,f,cancer and it&rsquo,s fun to think about,sometimes,single,non_stem
57,74,fit,socially,never,graduated from college/university,white,"oakland, california",straight,m,aquarius,no,single,non_stem,
39,67,average,socially,sometimes,graduated from college/university,white,"san francisco, california",straight,f,pisces,no,single,non_stem,
26,72,athletic,socially,never,graduated from college/university,other,"san francisco, california",straight,m,taurus and it&rsquo,s fun to think about,no,single,non_stem
40,64,athletic,socially,never,graduated from law school,white,"san francisco, california",straight,f,sagittarius and it&rsquo,s fun to think about,no,single,non_stem
31,62,curvy,socially,never,graduated from law school,white,"redwood city, california",straight,f,aquarius but it doesn&rsquo,t matter,no,single,non_stem
26,74,average,socially,sometimes,working on two-year college,white,"hayward, california",straight,m,sagittarius and it&rsquo,s fun to think about,no,single,non_stem
35,74,average,often,sometimes,graduated from college/university,white,"san francisco, california",straight,m,leo,sometimes,single,non_stem,
22,67,average,socially,sometimes,college/university,"asian, white","emeryville, california",straight,m,cancer,yes,single,non_stem,
33,65,average,rarely,sometimes,graduated from college/university,white,"san francisco, california",bisexual,f,leo and it matters a lot,sometimes,single,non_stem,
29,62,athletic,socially,never,graduated from college/university,white,"san rafael, california",straight,f,scorpio,no,single,non_stem,
54,71,thin,socially,never,graduated from masters program,white,"palo alto, california",straight,m,aries but it doesn&rsquo,t matter,no,single,non_stem
62,64,fit,socially,never,graduated from law school,white,"orinda, california",straight,f,sagittarius but it doesn&rsquo,t matter,no,single,non_stem
56,64,curvy,rarely,sometimes,graduated from college/university,white,"san leandro, california",straight,f,taurus and it matters a lot,no,single,non_stem,
24,70,athletic,rarely,never,working on two-year college,"black, hispanic / latin","daly city, california",straight,m,scorpio and it matters a lot,when drinking,single,non_stem,
61,64,average,not at all,never,graduated from two-year college,white,"san francisco, california",straight,f,cancer and it&rsquo,s fun to think about,no,single,non_stem
26,68,a little extra,socially,never,graduated from college/university,white,"san francisco, california",straight,f,virgo but it doesn&rsquo,t matter,no,single,non_stem
26,71,average,socially,never,high school,other,"half moon bay, california",straight,m,leo,no,single,non_stem,
37,67,fit,socially,never,graduated from college/university,asian,"burlingame, california",straight,m,pisces and it&rsquo,s fun to think about,no,single,non_stem
32,66,curvy,socially,never,graduated from college/university,hispanic / latin,"emeryville, california",straight,f,pisces and it&rsquo,s fun to think about,no,single,non_stem
56,67,curvy,not at all,never,dropped out of college/university,white,"san francisco, california",straight,f,cancer and it&rsquo,s fun to think about,no,single,non_stem
44,66,skinny,rarely,never,graduated from masters program,white,"vallejo, california",straight,f,capricorn and it&rsquo,s fun to think about,no,single,non_stem
36,65,thin,rarely,never,graduated from masters program,white,"san francisco, california",straight,f,scorpio but it doesn&rsquo,t matter,no,available,non_stem
46,67,average,socially,never,graduated from high school,white,"walnut creek, california",straight,f,scorpio,no,single,non_stem,
21,67,a little extra,rarely,never,working on college/university,"asian, pacific islander","hayward, california",straight,m,virgo and it&rsquo,s fun to think about,no,single,non_stem
36,68,skinny,rarely,sometimes,graduated from college/university,white,"oakland, california",gay,f,aquarius and it&rsquo,s fun to think about,sometimes,single,non_stem
33,69,athletic,rarely,never,graduated from law school,"asian, hispanic / latin","palo alto, california",straight,m,capricorn but it doesn&rsquo,t matter,no,single,non_stem
31,62,fit,socially,never,graduated from college/university,"middle eastern, white","san francisco, california",straight,f,pisces and it&rsquo,s fun to think about,no,single,non_stem
28,69,athletic,not at all,never,working on masters program,white,"oakland, california",straight,f,leo and it&rsquo,s fun to think about,no,single,non_stem
27,68,fit,socially,never,graduated from college/university,white,"san francisco, california",gay,m,taurus,no,single,non_stem,
38,65,average,socially,never,graduated from masters program,white,"san francisco, california",straight,m,virgo and it&rsquo,s fun to think about,no,single,non_stem
30,67,athletic,socially,sometimes,graduated from college/university,"hispanic / latin, white","oakland, california",bisexual,f,leo and it&rsquo,s fun to think about,no,available,non_stem
37,66,average,socially,never,working on college/university,white,"piedmont, california",straight,f,taurus and it&rsquo,s fun to think about,no,single,non_stem
36,71,athletic,socially,never,graduated from masters program,white,"san francisco, california",straight,m,aries and it&rsquo,s fun to think about,no,single,non_stem
19,69,a little extra,rarely,never,graduated from high school,"native american, indian, pacific islander, hispanic / latin","walnut creek, california",straight,f,sagittarius but it doesn&rsquo,t matter,no,single,non_stem
35,70,average,socially,never,college/university,indian,"san pablo, california",straight,m,virgo,when drinking,single,non_stem,
40,65,curvy,socially,never,graduated from college/university,white,"mill valley, california",straight,f,sagittarius but it doesn&rsquo,t matter,no,single,non_stem
30,73,overweight,rarely,often,dropped out of high school,white,"san francisco, california",straight,m,sagittarius and it&rsquo,s fun to think about,when drinking,single,non_stem
56,64,thin,rarely,never,graduated from two-year college,asian,"south san francisco, california",straight,f,cancer and it&rsquo,s fun to think about,no,single,non_stem
44,64,average,rarely,never,graduated from college/university,white,"berkeley, california",straight,f,aquarius but it doesn&rsquo,t matter,no,available,non_stem
31,71,fit,socially,sometimes,working on masters program,black,"san francisco, california",straight,m,pisces,yes,single,non_stem,
53,69,average,socially,never,graduated from college/university,white,"alameda, california",straight,m,capricorn and it&rsquo,s fun to think about,no,single,non_stem
28,72,average,socially,never,graduated from masters program,"hispanic / latin, white","san francisco, california",straight,m,scorpio but it doesn&rsquo,t matter,no,single,non_stem
48,72,fit,not at all,never,graduated from masters program,hispanic / latin,"pinole, california",straight,m,sagittarius but it doesn&rsquo,t matter,no,single,non_stem
26,70,fit,socially,never,graduated from two-year college,white,"san francisco, california",straight,m,capricorn but it doesn&rsquo,t matter,no,single,non_stem
38,68,athletic,socially,never,graduated from college/university,"native american, white, other","emeryville, california",straight,m,scorpio and it&rsquo,s fun to think about,no,single,non_stem
35,71,average,socially,sometimes,graduated from college/university,white,"san francisco, california",straight,m,aries,when drinking,single,non_stem,
21,66,average,rarely,never,graduated from college/university,"asian, pacific islander, white","san francisco, california",straight,f,leo and it&rsquo,s fun to think about,when drinking,single,non_stem
