Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Dispute_Status_for_Publication,Name_of_Associated_Covered_Device_or_Medical_Supply1,Name_of_Associated_Covered_Drug_or_Biological1,Physician_Specialty,status
ELI LILLY AND COMPANY,No,,,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Rheumatology,disallowed
ELI LILLY AND COMPANY,No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Nephrology,disallowed
ELI LILLY AND COMPANY,No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology,disallowed
ELI LILLY AND COMPANY,No,,,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",disallowed
ELI LILLY AND COMPANY,No,,EFFIENT,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Hematology-Oncology,disallowed
ELI LILLY AND COMPANY,No,,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,disallowed
ELI LILLY AND COMPANY,No,,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,disallowed
ELI LILLY AND COMPANY,No,,CIALIS,Allopathic & Osteopathic Physicians|Urology,disallowed
ELI LILLY AND COMPANY,No,,,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
ELI LILLY AND COMPANY,No,,ALIMTA,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
ELI LILLY AND COMPANY,No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,disallowed
ELI LILLY AND COMPANY,No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,disallowed
ELI LILLY AND COMPANY,No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
ELI LILLY AND COMPANY,No,,,Allopathic & Osteopathic Physicians|Dermatology,disallowed
ELI LILLY AND COMPANY,No,,,Allopathic & Osteopathic Physicians|Pathology|Clinical Pathology,disallowed
TearLab Corp,No,TearLab Osmolarity System,,Other Service Providers|Specialist,disallowed
TearLab Corp,No,TearLab Osmolarity System,,Allopathic & Osteopathic Physicians|Ophthalmology,disallowed
ELI LILLY AND COMPANY,No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Geriatric Medicine,disallowed
ELI LILLY AND COMPANY,No,,HUMALOG,Allopathic & Osteopathic Physicians|Internal Medicine|Geriatric Medicine,disallowed
ELI LILLY AND COMPANY,No,,,Allopathic & Osteopathic Physicians|Emergency Medicine,disallowed
ELI LILLY AND COMPANY,No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
ELI LILLY AND COMPANY,No,,CIALIS,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology with Special Qualifications in Child Neurology,disallowed
ELI LILLY AND COMPANY,No,,,Allopathic & Osteopathic Physicians|Preventive Medicine|Public Health & General Preventive Medicine,disallowed
ELI LILLY AND COMPANY,No,,HUMALOG,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
ELI LILLY AND COMPANY,No,,CIALIS,Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology,disallowed
ELI LILLY AND COMPANY,No,,,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
