c-1,c0,c1,c2,cls_coef,density,f1.mean,f1.sd,f1v.mean,f1v.sd,f2.mean,f2.sd,f3.mean,f3.sd,f4.mean,f4.sd,hubs.mean,hubs.sd,l1.mean,l1.sd,l2.mean,l2.sd,l3.mean,l3.sd,lsc,n1,n2.mean,n2.sd,n3.mean,n3.sd,n4.mean,n4.sd,t1.mean,t1.sd,t2,t3,t4
40981,Australian_40981.csv,0.9912308989033523,0.023972972299927786,0.7545968499672033,0.9986832418333649,0.8880513324118047,0.1398753444549872,0.14093800956751446,,0.35121605002846756,,0.9666666666666667,,0.9333333333333333,,0.993827536192721,0.03759287437649319,0.12658189817324383,,0.14492753623188404,,0.1376811594202898,,0.9821214030665827,0.27246376811594203,0.40489429177603803,0.11793234063335069,0.19420289855072465,0.395872777928824,0.1318840579710145,0.3386101335343202,0.002531645569620253,0.015729386383521723,0.020289855072463767,0.007246376811594203,0.35714285714285715
1447,CastMetal1_1447.csv,0.5531453183526465,0.7115280338358095,0.9618487227010403,0.776908500778597,0.9720465773895034,0.01944496238629984,0.2731229411810261,,2.2604529433500976e-06,,0.7584097859327217,,0.12232415902140673,,0.958518493220899,0.03662637014228431,0.09753091604810282,,0.11620795107033643,,0.11926605504587151,,0.9688671922490625,0.3211009174311927,0.39417376475984467,0.13746415306265414,0.2324159021406728,0.4230200775424435,0.14067278287461774,0.3482165428274102,0.07692307692307693,0.26540644737509717,0.11314984709480122,0.0030581039755351682,0.02702702702702703
1446,CostaMadre1_1446.csv,0.5529740500544369,0.7116809787083873,0.9630580050598885,0.760879523591388,0.9705449006587564,0.021858792340517103,0.2545962626647888,,9.07344338312516e-11,,0.7331081081081081,,0.0,,0.9558888715474665,0.03791362487561669,0.09560460961003014,,0.1216216216216216,,0.1250,,0.9641389700511322,0.32432432432432434,0.3899025730874404,0.1387219206456683,0.2195945945945946,0.41467304396887356,0.16216216216216217,0.36922372169883627,1.0,,0.1250,0.0033783783783783786,0.02702702702702703
41430,DiabeticMellitus_41430.csv,0.9361169611318012,0.1604892253931276,200000001.0,1.0035714285714286,,,,,,,0.0,,0.0,,,,,,,,,,1.0,0.0,,,,,,,1.0,,0.34519572953736655,,
4340,Engine1_4340.csv,0.5904568093904341,0.40636294971938847,0.8268347399585874,0.9613549683539978,0.8511753244953304,0.17696085226817637,0.2420893902474505,0.021979240031776152,0.0634253922638667,0.10985600189100314,0.2857874050495504,0.48477265209720793,0.2181500872600349,0.37784703480996445,0.9773065203648675,0.045841671842231015,0.03147951892814679,0.04441118594057764,0.03535110487503035,0.05104040035063355,0.03273330382790992,0.04651017417928153,0.9370504945837793,0.12010443864229765,0.27246478405644964,0.13534603017469757,0.05221932114882506,0.2227600167685892,0.0783289817232376,0.26904003550097066,0.005780346820809248,0.011555615866688839,0.013054830287206266,0.0026109660574412533,0.2
46116,German-Credit-Risk-with-Target_46116.csv,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1448,KnuggetChase3_1448.csv,0.6921053253628725,0.5667936024371669,0.8614601128609393,0.9310934244965546,0.9594043374341805,0.02582412943784025,0.2175058697245789,,7.59029722032838e-05,,0.8969072164948454,,0.010309278350515464,,0.9582580310412134,0.05856558067688837,0.10030512781419099,,0.12371134020618557,,0.1649484536082474,,0.9603836752045913,0.36597938144329895,0.3976281126052628,0.15334354868942904,0.25257731958762886,0.43561469486748033,0.1958762886597938,0.3979005853324625,0.017543859649122806,0.07996730501810023,0.20103092783505155,0.005154639175257732,0.02564102564102564
1441,KungChi3_1441.csv,0.5576611106650715,0.7074754378470739,0.7136183392494091,0.9342929494868719,0.9158478230525058,0.06612714531602729,0.08059057075795426,,1.2780278425082031e-06,,0.5934959349593496,,0.0,,0.9481191652343157,0.07404753762379296,0.05611414140196558,,0.04878048780487809,,0.08943089430894313,,0.8945733359772622,0.22764227642276422,0.3582458619234768,0.1532075859985209,0.15447154471544716,0.3628783006310873,0.04878048780487805,0.21628982288819323,0.021739130434782615,0.06682411064231639,0.3170731707317073,0.008130081300813009,0.02564102564102564
40496,LED-display-domain-7digit_40496.csv,0.9971039733174889,0.0015608448499618843,0.870686126095678,0.9750541082164329,0.4318341587381029,0.08097072128600412,0.05129734977451638,0.03564199560013334,1.0,0.0,5.02998664063081,0.4036827779271718,1.0,0.0,0.9980,0.044721359549995794,0.03590003017578481,0.034627617385291354,0.039485309638786804,0.03834162223826361,0.035924707947417964,0.040208444285785745,0.995116,0.66,,,0.3580,0.47989227248036903,0.3560,0.47929473906333214,0.01818181818181818,0.04996187098366667,0.0140,0.0140,1.0
43595,Loan-Predication_43595.csv,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
