ids,Datasets,attr_to_inst,cat_to_num,freq_class.mean,freq_class.sd,inst_to_attr,nr_attr,nr_bin,nr_cat,nr_class,nr_inst,nr_num,num_to_cat
40981,Australian_40981.csv,0.020289855072463767,1.3333333333333333,0.5,0.07788422517417042,49.285714285714285,14,4,8,2,690,6,0.75
1447,CastMetal1_1447.csv,0.11314984709480122,0.0,0.5,0.5254646722578932,8.837837837837839,37,0,0,2,327,37,
1446,CostaMadre1_1446.csv,0.1250,0.0,0.5,0.5255523373683799,8.0,37,0,0,2,296,37,
41430,DiabeticMellitus_41430.csv,0.34519572953736655,0.0,0.5,0.20886072184513685,2.8969072164948453,97,86,0,2,281,97,
4340,Engine1_4340.csv,0.013054830287206266,0.0,0.3333333333333333,0.33425804605271076,76.6,5,0,0,3,383,5,
46116,German-Credit-Risk-with-Target_46116.csv,error,,,,,,,,,,,
1448,KnuggetChase3_1448.csv,0.20103092783505155,0.0,0.5,0.44467539847813814,4.9743589743589745,39,0,0,2,194,39,
1441,KungChi3_1441.csv,0.3170731707317073,0.0,0.5,0.5231440413656571,3.1538461538461537,39,0,0,2,123,39,
40496,LED-display-domain-7digit_40496.csv,0.0140,0.0,0.1,0.011925695879998881,71.42857142857143,7,7,0,10,500,7,
43595,Loan-Predication_43595.csv,error,,,,,,,,,,,
45557,Mammographic-Mass-Data-Set_45557.csv,error,,,,,,,,,,,
1449,MeanWhile1_1449.csv,0.14624505928853754,0.0,0.5,0.556182804174399,6.837837837837838,37,1,0,2,253,37,
1442,MegaWatt1_1442.csv,0.14624505928853754,0.0,0.5,0.556182804174399,6.837837837837838,37,1,0,2,253,37,
1450,MindCave2_1450.csv,0.3120,0.0,0.5,0.2093036072312181,3.2051282051282053,39,0,0,2,125,39,
4534,PhishingWebsites_4534.csv,0.0027137042062415195,,0.5,0.08052894052590348,368.5,30,22,30,2,11055,0,0.0
1451,PieChart1_1451.csv,0.0524822695035461,0.0,0.5,0.584742203449301,19.054054054054053,37,0,0,2,705,37,
1452,PieChart2_1452.csv,0.04832214765100671,0.0,0.5,0.6767344093771924,20.694444444444443,36,1,0,2,745,36,
1453,PieChart3_1453.csv,0.034354688950789226,0.0,0.5,0.5311507762116221,29.10810810810811,37,0,0,2,1077,37,
1443,PizzaCutter1_1443.csv,0.05597579425113464,0.0,0.5,0.595852461605003,17.864864864864863,37,0,0,2,661,37,
1444,PizzaCutter3_1444.csv,0.03547459252157239,0.0,0.5,0.5349062803031505,28.18918918918919,37,0,0,2,1043,37,
1100,PopularKids_1100.csv,0.02092050209205021,0.6666666666666666,0.3333333333333333,0.16755132475331705,47.8,10,2,4,3,478,6,1.5
45558,Pulsar-Dataset-HTRU2_45558.csv,0.00044697731590121804,0.0,0.5,0.5776009130040968,2237.25,8,0,0,2,17898,8,
336,SPECT_336.csv,0.08239700374531835,,0.5,0.41578938069770777,12.136363636363637,22,22,22,2,267,0,0.0
40900,Satellite_40900.csv,0.007058823529411765,0.0,0.5,0.6863095229163549,141.66666666666666,36,0,0,2,5100,36,
41946,Sick_numeric_41946.csv,0.0076882290562036056,0.0,0.5,0.6204993228333702,130.06896551724137,29,19,0,2,3772,29,
4153,Smartphone-Based_Recognition_of_Human_Activities_4153.csv,0.36666666666666664,0.0,0.16666666666666666,0.0,2.727272727272727,66,0,0,6,180,66,
183,abalone_183.csv,error,,,,,,,,,,,
1455,acute-inflammations_1455.csv,0.05,5.0,0.5,0.11785113019775793,20.0,6,5,5,2,120,1,0.2
46279,algerian_forest_fires_46279.csv,0.053497942386831275,0.0,0.5,0.09020703792914801,18.692307692307693,13,0,0,2,243,13,
458,analcatdata_authorship_458.csv,0.08323424494649227,0.0,0.25,0.14439255472989965,12.014285714285714,70,0,0,4,841,70,
452,analcatdata_broadwaymult_452.csv,0.02456140350877193,1.3333333333333333,0.14285714285714285,0.12123834023092052,40.714285714285715,7,1,4,7,285,3,0.75
461,analcatdata_creditscore_461.csv,0.06,1.0,0.5,0.3252691193458118,16.666666666666668,6,2,3,2,100,3,1.0
1014,analcatdata_dmft_1014.csv,0.005018820577164366,,0.5,0.4320715212520059,199.25,4,1,4,2,797,0,0.0
984,analcatdata_draft_984.csv,0.01092896174863388,1.0,0.5,0.5834596937659491,91.5,4,0,2,2,366,2,1.0
1025,analcatdata_germangss_1025.csv,0.0125,,0.5,0.38890872965260115,80.0,5,2,5,2,400,0,0.0
852,analcatdata_gsssexsurvey_852.csv,0.05660377358490566,1.25,0.5,0.39580190896605494,17.666666666666668,9,5,5,2,159,4,0.8
966,analcatdata_halloffame_966.csv,0.011940298507462687,0.06666666666666667,0.5,0.5751838742487588,83.75,16,0,1,2,1340,15,15.0
450,analcatdata_lawsuit_450.csv,0.015151515151515152,0.3333333333333333,0.5,0.6053262596521202,66.0,4,1,1,2,264,3,3.0
986,analcatdata_marketing_986.csv,0.08791208791208792,0.0,0.5,0.26030854032691586,11.3750,32,0,0,2,364,32,0.08791208791208792
1008,analcatdata_reviewer_1008.csv,0.018469656992084433,0.0,0.5,0.09888300634007131,54.142857142857146,7,0,0,2,379,7,0.018469656992084433
728,analcatdata_supreme_728.csv,0.0017275419545903258,0.0,0.5,0.3682120701637748,578.8571428571429,7,5,0,2,4052,7,
748,analcatdata_wildcat_748.csv,0.03067484662576687,0.6666666666666666,0.5,0.29932741044093114,32.6,5,2,2,2,163,3,1.5
45613,appendicitis_test_edsa_45613.csv,error,,,,,,,,,,,
1059,ar1_1059.csv,0.2396694214876033,0.0,0.5,0.601917342662929,4.172413793103448,29,0,0,2,121,29,
1061,ar4_1061.csv,0.27102803738317754,0.0,0.5,0.44276779756540824,3.689655172413793,29,0,0,2,107,29,
1064,ar6_1064.csv,0.2871287128712871,0.0,0.5,0.49707506400242446,3.4827586206896552,29,0,0,2,101,29,
949,arsenic-female-bladder_949.csv,0.007155635062611807,0.3333333333333333,0.5,0.5047148581277862,139.75,4,0,1,2,559,3,3.0
