ids;leaves;leaves_branch.mean;leaves_branch.sd;leaves_corrob.mean;leaves_corrob.sd;leaves_homo.mean;leaves_homo.sd;leaves_per_class.mean;leaves_per_class.sd;nodes;nodes_per_attr;nodes_per_inst;nodes_per_level.mean;nodes_per_level.sd;nodes_repeated.mean;nodes_repeated.sd;tree_depth.mean;tree_depth.sd;tree_imbalance.mean;tree_imbalance.sd;tree_shape.mean;tree_shape.sd;var_importance.mean;var_importance.sd
45557;;;;;;;;;;;;;;;;;;;;;;;;
986;;;;;;;;;;;;;;;;;;;;;;;;
1008;;;;;;;;;;;;;;;;;;;;;;;;
844;;;;;;;;;;;;;;;;;;;;;;;;
327;;;;;;;;;;;;;;;;;;;;;;;;
798;;;;;;;;;;;;;;;;;;;;;;;;
786;;;;;;;;;;;;;;;;;;;;;;;;
27;;;;;;;;;;;;;;;;;;;;;;;;
944;;;;;;;;;;;;;;;;;;;;;;;;
49;;;;;;;;;;;;;;;;;;;;;;;;
51;;;;;;;;;;;;;;;;;;;;;;;;
55;;;;;;;;;;;;;;;;;;;;;;;;
1073;62.0;7.290322580645161;2.0516854069252313;0.01612903225806452;0.02971266373460489;2520.066955266956;2978.105327783191;0.5;0.022809896167307966;61.0;7.625;0.22262773722627738;5.545454545454546;3.205109557055308;7.625;4.103569874424672;6.357723577235772;2.378627794603273;0.0971579922085933;0.08634224700719134;0.07765246975806452;0.08498646412904189;0.125;0.11699429109372318
1066;22.0;5.181818181818182;1.4019158196439492;0.045454545454545456;0.07936841141023729;194.8761904761905;118.17202843160014;0.5;0.06428243465332248;21.0;0.22340425531914893;0.14482758620689656;3.0;1.4142135623730951;1.05;0.223606797749979;4.325581395348837;1.7555480792884157;0.14469624541433534;0.07160690024359485;0.1690340909090909;0.11978872573088602;0.010638297872340429;0.03916826722139601
1045;8.0;3.125;0.6408699444616557;0.125;0.29812704508202975;23.333333333333332;5.656854249492381;0.5;0.0;7.0;0.07446808510638298;0.04827586206896552;1.75;0.9574271077563381;1.1666666666666667;0.408248290463863;2.4;1.1212238211627763;0.24337065668081773;0.1481265199364758;0.359375;0.08010874305770696;0.010638297872340425;0.050597824585675924
1065;36.0;6.777777777777778;2.7371634025142697;0.027777777777777776;0.06375206391442954;2431.6323676323677;5475.08433623038;0.5;0.11785113019775793;35.0;0.8974358974358975;0.07641921397379912;2.6923076923076925;1.702185623672077;1.3461538461538463;0.6287961636211018;5.887323943661972;2.940113194004845;0.07269829482606843;0.11370226190671355;0.11750623914930555;0.11159515967448633;0.025641025641025637;0.02915657106593477
807;1068.0;12.138576779026216;2.8815235082972754;0.0009363295880149813;0.002597751439533512;2337343.391081021;7192900.21035916;0.5;0.009269190015553977;1067.0;133.375;0.1302490234375;50.80952380952381;49.44554484240116;133.375;19.279430193121076;11.14473067915691;3.1973716815798783;0.05268999628015443;0.06937195251856336;0.00800833273469732;0.012990489015025431;0.125;0.06087123557422022
1481;6578.0;15.02493159014898;2.9216600059023006;0.00015202189115232594;0.0002682988587427329;85087895.21183267;248705303.43324038;0.05555555555555555;0.05265424027136605;6577.0;1096.1666666666667;0.23442400912460792;274.0416666666667;293.93484625096715;1096.1666666666667;672.1504047954347;14.026149752945647;3.2429500908193587;0.05032442036728979;0.06369064687239548;0.0016531204336426766;0.0033772455246515445;0.16666666666666666;0.08530796379348023
184;6581.0;15.02902294484121;2.9277380248025384;0.000151952590791673;0.0002683105753904877;86151903.65824199;251205936.7997262;0.05555555555555555;0.05260245996898487;6580.0;1096.6666666666667;0.2345309381237525;274.1666666666667;293.706399786185;1096.6666666666667;672.8038842535518;14.030240863156296;3.248426836187886;0.05032647323461862;0.06367719556632398;0.0016524576340162217;0.003376257884128464;0.16666666666666666;0.08511054888481774
1003;;;;;;;;;;;;;;;;;;;;;;;;
470;;;;;;;;;;;;;;;;;;;;;;;;
42172;;;;;;;;;;;;;;;;;;;;;;;;
934;86.0;7.732558139534884;2.246170171148326;0.011627906976744186;0.051318130351929094;6987.338261738265;16616.298349937966;0.5;0.01644434374852439;85.0;17.0;0.07352941176470588;6.071428571428571;5.014813221681506;17.0;12.144957801491119;6.783625730994152;2.570184420078912;0.0703007192209259;0.09446368573798274;0.06309473791787791;0.06482736878468733;0.2;0.32410005711388623
42;;;;;;;;;;;;;;;;;;;;;;;;
56;;;;;;;;;;;;;;;;;;;;;;;;
940;;;;;;;;;;;;;;;;;;;;;;;;
