ids,attr_to_inst,cat_to_num,freq_class.mean,freq_class.sd,inst_to_attr,nr_attr,nr_bin,nr_cat,nr_class,nr_inst,nr_num,num_to_cat
40981,0.020289855072463767,1.3333333333333333,0.5,0.07788422517417042,49.285714285714285,14,4,8,2,690,6,0.75
1447,0.11314984709480122,0.0,0.5,0.5254646722578932,8.837837837837839,37,0,0,2,327,37,
1446,125,0.0,0.5,0.5255523373683799,8.0,37,0,0,2,296,37,
41430,0.34519572953736655,0.0,0.5,0.20886072184513685,2.8969072164948453,97,86,0,2,281,97,
4340,0.013054830287206266,0.0,0.3333333333333333,0.33425804605271076,76.6,5,0,0,3,383,5,
1448,0.20103092783505155,0.0,0.5,0.44467539847813814,4.9743589743589745,39,0,0,2,194,39,
1441,0.3170731707317073,0.0,0.5,0.5231440413656571,3.1538461538461537,39,0,0,2,123,39,
40496,14,0.0,0.1,0.011925695879998881,71.42857142857143,7,7,0,10,500,7,
1449,0.14624505928853754,0.0,0.5,0.556182804174399,6.837837837837838,37,1,0,2,253,37,
1442,0.14624505928853754,0.0,0.5,0.556182804174399,6.837837837837838,37,1,0,2,253,37,
1450,312,0.0,0.5,0.2093036072312181,3.2051282051282053,39,0,0,2,125,39,
43974,0.0006849502726102085,0.0,0.5,0.0,1459.96,50,0,0,2,72998,50,
45548,0.0015029574323669156,0.0,0.1111111111111111,0.08495302822421776,665.3548387096774,93,0,0,9,61878,93,
4534,0.0027137042062415195,,0.5,0.08052894052590348,368.5,30,22,30,2,11055,0,0.0
1451,0.0524822695035461,0.0,0.5,0.584742203449301,19.054054054054053,37,0,0,2,705,37,
1452,0.04832214765100671,0.0,0.5,0.6767344093771924,20.694444444444443,36,1,0,2,745,36,
1453,0.034354688950789226,0.0,0.5,0.5311507762116221,29.10810810810811,37,0,0,2,1077,37,
1443,0.05597579425113464,0.0,0.5,0.595852461605003,17.864864864864863,37,0,0,2,661,37,
1444,0.03547459252157239,0.0,0.5,0.5349062803031505,28.18918918918919,37,0,0,2,1043,37,
1100,0.02092050209205021,0.6666666666666666,0.3333333333333333,0.16755132475331705,47.8,10,2,4,3,478,6,1.5
45558,0.00044697731590121804,0.0,0.5,0.5776009130040968,2237.25,8,0,0,2,17898,8,
40922,6.772926355714092e-05,0.0,0.5,0.00113343977658925,14764.666666666666,6,0,0,2,88588,6,
336,0.08239700374531835,,0.5,0.41578938069770777,12.136363636363637,22,22,22,2,267,0,0.0
40900,0.007058823529411765,0.0,0.5,0.6863095229163549,141.66666666666666,36,0,0,2,5100,36,
41946,0.0076882290562036056,0.0,0.5,0.6204993228333702,130.06896551724137,29,19,0,2,3772,29,
4153,0.36666666666666664,0.0,0.16666666666666666,0.0,2.727272727272727,66,0,0,6,180,66,
1455,0.05,5.0,0.5,0.11785113019775793,20.0,6,5,5,2,120,1,0.2
46279,0.053497942386831275,0.0,0.5,0.09020703792914801,18.692307692307693,13,0,0,2,243,13,
458,0.08323424494649227,0.0,0.25,0.14439255472989965,12.014285714285714,70,0,0,4,841,70,
452,0.02456140350877193,1.3333333333333333,0.14285714285714285,0.12123834023092052,40.714285714285715,7,1,4,7,285,3,0.75
461,0.06,1.0,0.5,0.3252691193458118,16.666666666666668,6,2,3,2,100,3,1.0
1014,0.005018820577164366,,0.5,0.4320715212520059,199.25,4,1,4,2,797,0,0.0
984,0.01092896174863388,1.0,0.5,0.5834596937659491,91.5,4,0,2,2,366,2,1.0
1025,0.0125,,0.5,0.38890872965260115,80.0,5,2,5,2,400,0,0.0
852,0.05660377358490566,1.25,0.5,0.39580190896605494,17.666666666666668,9,5,5,2,159,4,0.8
966,0.011940298507462687,0.06666666666666667,0.5,0.5751838742487588,83.75,16,0,1,2,1340,15,15.0
450,0.015151515151515152,0.3333333333333333,0.5,0.6053262596521202,66.0,4,1,1,2,264,3,3.0
728,0.0017275419545903258,0.0,0.5,0.3682120701637748,578.8571428571429,7,5,0,2,4052,7,
748,0.03067484662576687,0.6666666666666666,0.5,0.29932741044093114,32.6,5,2,2,2,163,3,1.5
1059,0.2396694214876033,0.0,0.5,0.601917342662929,4.172413793103448,29,0,0,2,121,29,
1061,0.27102803738317754,0.0,0.5,0.44276779756540824,3.689655172413793,29,0,0,2,107,29,
1064,0.2871287128712871,0.0,0.5,0.49707506400242446,3.4827586206896552,29,0,0,2,101,29,
949,0.007155635062611807,0.3333333333333333,0.5,0.5047148581277862,139.75,4,0,1,2,559,3,3.0
950,0.007155635062611807,0.3333333333333333,0.5,0.6590386994600916,139.75,4,0,1,2,559,3,3.0
947,0.007155635062611807,0.3333333333333333,0.5,0.6463892042689192,139.75,4,0,1,2,559,3,3.0
951,0.007155635062611807,0.3333333333333333,0.5,0.6742180936894988,139.75,4,0,1,2,559,3,3.0
756,0.09433962264150944,0.0,0.5,0.22680783547493033,10.6,15,0,0,2,159,15,
1547,0.02,0.0,0.5,0.34082546853191587,50.0,20,20,0,2,1000,20,
1555,0.04,0.08108108108108109,125,0.048029752683697455,25.0,40,2,3,8,1000,37,12.333333333333334
1551,0.1,0.08108108108108109,125,0.08085480814398116,10.0,40,2,3,8,400,37,12.333333333333334
1549,0.05333333333333334,0.08108108108108109,0.12499999999999999,0.053763739476897277,18.75,40,2,3,8,750,37,12.333333333333334
1552,0.01090909090909091,0.5,0.2,0.05379406707893132,91.66666666666667,12,2,4,5,1100,8,2.0
1554,24,0.5,0.2,0.11340194001867869,41.666666666666664,12,2,4,5,500,8,2.0
1553,0.017142857142857144,0.5,0.3333333333333333,0.02408883784750807,58.333333333333336,12,2,4,3,700,8,2.0
463,0.17222222222222222,5.2,0.5,0.510688230856951,5.806451612903226,31,22,26,2,180,5,0.19230769230769232
1121,0.034013605442176874,0.42857142857142855,0.5,0.30304576336566325,29.4,10,3,3,2,294,7,2.3333333333333335
11,0.0064,0.0,0.3333333333333333,0.2207787429381129,156.25,4,0,0,3,625,4,
481,0.03827751196172249,0.14285714285714285,0.5,0.1996138760287383,26125,8,0,1,2,209,7,7.0
1463,0.05,,0.5,0.25455844122715715,20.0,5,2,5,2,100,0,0.0
1464,0.0053475935828877,0.0,0.5,0.3705693291779768,187.0,4,0,0,2,748,4,
778,0.05555555555555555,0.0,0.5,0.01122391716169123,18.0,14,0,0,2,252,14,
853,0.025691699604743084,0.08333333333333333,0.5,0.12297509238026917,38.92307692307692,13,1,1,2,506,12,12.0
825,0.039525691699604744,0.17647058823529413,0.5,0.08384665389563803,25.3,20,1,3,2,506,17,5.666666666666667
15,0.012875536480686695,0.0,0.5,0.21951669744990102,77.66666666666667,9,0,0,2,699,9,
45717,0.024528301886792454,0.18181818181818182,0.5,0.2374811453796329,40.76923076923077,13,1,2,2,530,11,5.5
40663,0.08020050125313283,1.6666666666666667,0.2,0.05297062296873018,12.46875,32,2,20,5,399,12,0.6
820,0.05106382978723404,0.0,0.5,0.14743928628996095,19.583333333333332,12,0,0,2,235,12,
909,0.0175,0.0,0.5,0.010606601717798184,57.142857142857146,7,0,0,2,400,7,
908,0.0175,0.0,0.5,0.028284271247461926,57.142857142857146,7,0,0,2,400,7,
907,0.0175,0.0,0.5,0.021213203435596444,57.142857142857146,7,0,0,2,400,7,
906,0.0175,0.0,0.5,0.024748737341529145,57.142857142857146,7,0,0,2,400,7,
900,15,0.0,0.5,0.12374368670764585,66.66666666666667,6,0,0,2,400,6,
939,0.03508771929824561,0.0,0.5,0.01860807318911969,28.5,8,1,0,2,228,8,
1467,0.037037037037037035,0.0,0.5,0.586636736984395,27.0,20,0,0,2,540,20,
890,0.06481481481481481,0.16666666666666666,0.5,0.2880805404834083,15.428571428571429,7,1,1,2,108,6,6.0
897,0.012919896640826873,0.15384615384615385,0.5,0.2832081423356973,77.4,15,0,2,2,1161,13,6.5
987,44,0.1,0.5,0.4808326112068523,22.727272727272727,22,0,2,2,500,20,10.0
41538,0.024390243902439025,,0.5,0.5288928769850599,41.0,6,2,6,2,246,0,0.0
40669,0.0375,,0.5,0.08838834764831845,26.666666666666668,6,6,6,2,160,0,0.0
796,0.03349282296650718,0.16666666666666666,0.5,0.3484784615416957,29.857142857142858,7,0,1,2,209,6,6.0
31,0.02,1.8571428571428572,0.5,0.282842712474619,50.0,20,3,13,2,1000,7,0.5384615384615384
1075,0.06153846153846154,0.0,0.5,0.5874425566780549,16.25,8,1,0,2,130,8,
35,0.09289617486338798,33.0,0.16666666666666666,0.08312479505926303,10.764705882352942,34,1,33,6,366,1,0.030303030303030304
37,0.010416666666666666,0.0,0.5,0.21360517348343622,96.0,8,0,0,2,768,8,
818,0.025806451612903226,0.14285714285714285,0.5,0.04561979233461597,38.75,8,0,1,2,310,7,7.0
45712,0.018361581920903956,0.18181818181818182,0.5,0.0,54.46153846153846,13,1,2,2,708,11,5.5
45604,6,0.0,0.5,0.32102647865869255,166.66666666666666,6,0,0,2,1000,6,
1011,0.020833333333333332,0.0,0.5,0.10522422339085527,48.0,7,2,0,2,336,7,
1472,0.01171875,125,0.02702702702702703,0.02448971766551098,85.33333333333333,9,1,1,37,768,8,8.0
188,0.025815217391304348,0.35714285714285715,0.19999999999999998,0.06526973669230479,38.73684210526316,19,1,5,5,736,14,2.8
1473,0.09,0.0,0.5,0.5374011537017761,11.11111111111111,9,3,0,2,100,9,
285,0.14432989690721648,13.0,125,0.10385396459487134,6.928571428571429,28,13,26,8,194,2,0.07692307692307693
904,0.05,0.0,0.5,0.014142135623730963,20.0,50,0,0,2,1000,50,
888,0.1,0.0,0.5,0.016970562748477157,10.0,50,0,0,2,500,50,
837,0.05,0.0,0.5,0.06646803743153548,20.0,50,0,0,2,1000,50,
766,0.1,0.0,0.5,0.033941125496954314,10.0,50,0,0,2,500,50,
866,0.05,0.0,0.5,0.11596551211459377,20.0,50,0,0,2,1000,50,
920,0.1,0.0,0.5,0.12727922061357855,10.0,50,0,0,2,500,50,
806,0.05,0.0,0.5,0.07778174593052026,20.0,50,0,0,2,1000,50,
937,0.1,0.0,0.5,0.09050966799187804,10.0,50,0,0,2,500,50,
797,0.05,0.0,0.5,0.08485281374238575,20.0,50,0,0,2,1000,50,
805,0.1,0.0,0.5,0.039597979746446695,10.0,50,0,0,2,500,50,
714,32,1.0,0.5,0.15273506473629425,31.25,4,0,2,2,125,2,1.0
1005,0.04205607476635514,0.0,0.5,0.20486271230638292,23.77777777777778,9,0,0,2,214,9,
1026,0.05161290322580645,3.0,0.5,0.260032816307311,19375,8,0,6,2,155,2,0.3333333333333333
329,25,0.0,0.3333333333333333,0.12092309884109542,40.0,4,0,0,3,160,4,
1512,65,0.0,0.2,0.08951256894984079,15.384615384615385,13,2,0,5,200,13,
53,0.04814814814814815,0.0,0.5,0.07856742013183865,20.76923076923077,13,3,0,2,270,13,
1513,0.0975609756097561,0.0,0.2,0.1460702093104111,10.25,12,1,0,5,123,12,
41945,0.017152658662092625,0.0,0.5,0.30200615525806235,58.3,10,1,0,2,583,10,
59,0.09686609686609686,0.0,0.5,0.19944037418082114,10.323529411764707,34,1,0,2,351,34,
61,0.02666666666666667,0.0,0.3333333333333333,0.0,37.5,4,0,0,3,150,4,
1056,0.004014367208958377,0.0,0.5,0.6969476303053548,249.10526315789474,38,4,0,2,9466,38,
1054,0.2422360248447205,0.0,0.5,0.25034215234554785,4.128205128205129,39,0,0,2,161,39,
1488,0.11282051282051282,0.0,0.5,0.358992673525478,8.863636363636363,22,0,0,2,195,22,
750,14,0.0,0.5,0.01131370849898477,71.42857142857143,7,0,0,2,500,7,
722,0.0032,0.0,0.5,0.2318367433250294,312.5,48,0,0,2,15000,48,
871,0.0012993762993762994,0.0,0.5,0.0,769.6,5,0,0,2,3848,5,
446,35,0.16666666666666666,0.5,0.0,28.571428571428573,7,1,1,2,200,6,6.0
952,0.04205607476635514,0.0,0.16666666666666666,0.13898760091092968,23.77777777777778,9,0,0,6,214,9,
752,0.00390625,0.0,0.5,0.005524271728019903,256.0,32,0,0,2,8192,32,
816,0.0009765625,0.0,0.5,0.003107402847011195,1024.0,8,0,0,2,8192,8,
721,0.05,0.0,0.5,0.021213203435596444,20.0,10,1,0,2,200,10,
1495,24,,0.5,0.10182337649086282,41.666666666666664,6,0,6,2,250,0,0.0
717,0.01968503937007874,0.0,0.5,0.08908431888964377,50.8,10,0,0,2,508,10,
1519,0.7692307692307693,0.0,0.3333333333333333,0.2445997952351143,1.3,90,0,0,3,117,90,
1520,0.5487804878048781,0.0,0.2,0.07206997227849943,1.8222222222222222,90,0,0,5,164,90,
1498,0.01948051948051948,125,0.5,0.21733585049456655,51.333333333333336,9,1,1,2,462,8,8.0
182,0.005598755832037325,0.0,0.16666666666666666,0.06781240913522704,178.61111111111111,36,0,0,6,6430,36,
466,0.041176470588235294,0.16666666666666666,0.5,0.029116161578269618,24.285714285714285,14,1,2,2,340,12,6.0
1499,0.03333333333333333,0.0,0.3333333333333333,0.0,30.0,7,0,0,3,210,7,
36,0.008225108225108226,0.0,0.14285714285714282,2.997944808332385e-17,121.57894736842105,19,0,0,7,2310,19,
1500,0.03333333333333333,0.0,0.3333333333333333,0.0,30.0,7,0,0,3,210,7,
826,0.019097222222222224,,0.5,0.12030636207687784,52.36363636363637,11,4,11,2,576,0,0.0
747,0.023952095808383235,,0.5,0.38530968316153186,41.75,4,0,4,2,167,0,0.0
902,0.04081632653061224,2.0,0.5,0.04329225190938047,24.5,6,4,4,2,147,2,0.5
40,0.28846153846153844,0.0,0.5,0.047593725656786844,3.466666666666667,60,0,0,2,208,60,
737,0.0019311232700354038,0.0,0.5,0.005689626498121548,517.8333333333334,6,0,0,2,3107,6,
44,0.01238861117148446,0.0,0.5,0.14984331920384353,80.71929824561404,57,0,0,2,4601,57,
46,0.018808777429467086,,0.3333333333333333,0.16062652283904474,53.166666666666664,60,0,60,3,3190,0,0.0
40982,0.013910355486862442,0.0,0.14285714285714285,0.11490875828592285,71.88888888888889,27,2,0,7,1941,27,
841,0.009473684210526316,0.0,0.5,0.019352396116684434,105.55555555555556,9,0,0,2,950,9,
770,0.0096,0.0,0.5,0.005656854249492385,104.16666666666667,6,0,0,2,625,6,
41146,0.0039032006245121,0.0,0.5,0.0,256.2,20,0,0,2,5124,20,
1004,0.1,0.0,0.5,0.47140452079103173,10.0,60,0,0,2,600,60,
48,0.033112582781456956,0.6666666666666666,0.3333333333333333,0.01011606113676785,30.2,5,2,2,3,151,3,1.5
1115,0.039735099337748346,2.0,0.3333333333333333,0.01011606113676785,25.166666666666668,6,2,4,3,151,2,0.5
41526,0.0038592654531420852,0.0,0.5,0.017419559863282152,259.1166666666667,60,0,0,2,15547,60,
40499,0.007272727272727273,0.0,0.09090909090909091,0.0,137.5,40,0,0,11,5500,40,
4329,0.03404255319148936,4.333333333333333,0.5,0.49647922934374616,29375,16,10,13,2,470,3,0.23076923076923078
40690,0.017578125,,0.5,0.04971844555217912,56.888888888888886,9,9,9,2,512,0,0.0
40474,0.009285714285714286,3.3333333333333335,0.2,0.23789119232908792,107.6923076923077,26,20,20,5,2800,6,0.3
50,0.009394572025052192,,0.5,0.21700354245182146,106.44444444444444,9,0,9,2,958,0,0.0
40705,0.045881126173096975,0.047619047619047616,0.5,0.19686914554411697,21.795454545454547,44,1,2,2,959,42,21.0
788,0.3225806451612903,0.0,0.5,0.12165277955897592,3.1,60,16,0,2,186,60,
1507,0.002702702702702703,0.0,0.5,0.0005733298225837206,370.0,20,0,0,2,7400,20,
1508,0.01240694789081886,0.0,0.2,0.12833366911866967,80.6,5,0,0,5,403,5,
1047,0.07881773399014778,4.333333333333333,0.0909090909090909,0.16637362952768747,12.6875,16,0,13,11,203,3,0.23076923076923078
54,0.02127659574468085,0.0,0.25,0.010327298992971743,47.0,18,0,0,4,846,18,
44153,0.02127659574468085,0.0,0.25,0.010327298992971743,47.0,18,0,0,4,846,18,
719,0.051094890510948905,1.3333333333333333,0.5,0.2632295316825834,19.571428571428573,7,3,4,2,137,3,0.75
925,0.01238390092879257,0.0,0.5,0.059107997188968385,80.75,4,0,0,2,323,4,
923,0.0004629093854877908,0.3333333333333333,0.5,0.07078432655090423,2160.25,4,1,1,2,8641,3,3.0
1016,0.012121212121212121,0.2,0.5,0.5785419118799024,82.5,12,1,2,2,990,10,5.0
1497,0.004398826979472141,0.0,0.25,0.17086824003104314,227.33333333333334,24,0,0,4,5456,24,
60,8,0.0,0.3333333333333333,0.004392417709341083,125.0,40,0,0,3,5000,40,
1510,0.05272407732864675,0.0,0.5,0.18019417095263515,18.966666666666665,30,0,0,2,569,30,
1511,0.01818181818181818,0.14285714285714285,0.5,0.2507014951479577,55.0,8,0,1,2,440,7,7.0
40983,0.0010332713370531101,0.0,0.5,0.6308286783183149,967.8,5,0,0,2,4839,5,
847,0.0021296014602981443,0.0,0.5,0.04603615794764865,469.57142857142856,14,0,0,2,6574,14,
187,0.07303370786516854,0.0,0.3333333333333333,0.06462709335856702,13.692307692307692,13,0,0,3,178,13,
753,0.16494845360824742,0.0,0.5,0.051028324415524025,6.0625,32,0,0,2,194,32,
40693,0.009249743062692703,,0.5,0.2390936598256671,108.11111111111111,9,9,9,2,973,0,0.0
181,0.005390835579514825,0.0,0.1,0.11701212941368597,185.5,8,1,0,10,1484,8,
62,0.15841584158415842,15.0,0.14285714285714285,0.12767506756884595,6.3125,16,15,15,7,101,1,0.06666666666666667
